OrderID,OrderType
1,Online
2,Online
3,Offline
4,Online
5,Offline
6,Online
7,Offline
8,Offline
9,Online
10,Online
11,Online
12,Offline
13,Online
14,Offline
15,Offline
16,Offline
17,Online
18,Online
19,Offline
20,Offline
21,Online
22,Offline
23,Online
24,Offline
25,Online
26,Offline
27,Online
28,Offline
29,Online
30,Online
31,Offline
32,Offline
33,Online
34,Offline
35,Online
36,Offline
37,Online
38,Online
39,Online
40,Online
41,Online
42,Online
43,Offline
44,Offline
45,Offline
46,Online
47,Online
48,Online
49,Online
50,Offline
51,Offline
52,Online
53,Offline
54,Offline
55,Online
56,Offline
57,Online
58,Offline
59,Online
60,Online
61,Online
62,Online
63,Offline
64,Online
65,Online
66,Online
67,Offline
68,Online
69,Offline
70,Online
71,Offline
72,Offline
73,Online
74,Offline
75,Online
76,Online
77,Online
78,Offline
79,Offline
80,Online
81,Online
82,Offline
83,Online
84,Online
85,Online
86,Offline
87,Offline
88,Offline
89,Online
90,Online
91,Online
92,Offline
93,Online
94,Online
95,Online
96,Online
97,Offline
98,Offline
99,Online
100,Offline
101,Offline
102,Online
103,Online
104,Offline
105,Online
106,Offline
107,Online
108,Offline
109,Online
110,Offline
111,Offline
112,Offline
113,Online
114,Offline
115,Offline
116,Online
117,Online
118,Offline
119,Offline
120,Online
121,Online
122,Online
123,Online
124,Online
125,Offline
126,Online
127,Offline
128,Offline
129,Offline
130,Online
131,Offline
132,Offline
133,Online
134,Offline
135,Offline
136,Online
137,Offline
138,Offline
139,Offline
140,Online
141,Online
142,Online
143,Offline
144,Offline
145,Online
146,Offline
147,Offline
148,Online
149,Online
150,Offline
151,Offline
152,Offline
153,Online
154,Online
155,Online
156,Online
157,Offline
158,Online
159,Online
160,Online
161,Online
162,Online
163,Offline
164,Offline
165,Online
166,Offline
167,Online
168,Online
169,Offline
170,Offline
171,Online
172,Online
173,Online
174,Offline
175,Online
176,Online
177,Online
178,Offline
179,Online
180,Online
181,Offline
182,Online
183,Online
184,Offline
185,Online
186,Offline
187,Offline
188,Online
189,Online
190,Online
191,Online
192,Offline
193,Online
194,Offline
195,Online
196,Online
197,Online
198,Offline
199,Online
200,Online
201,Online
202,Online
203,Offline
204,Online
205,Offline
206,Offline
207,Offline
208,Offline
209,Offline
210,Offline
211,Online
212,Offline
213,Offline
214,Offline
215,Online
216,Online
217,Offline
218,Online
219,Offline
220,Offline
221,Online
222,Offline
223,Online
224,Online
225,Offline
226,Offline
227,Online
228,Offline
229,Offline
230,Offline
231,Online
232,Online
233,Offline
234,Online
235,Online
236,Online
237,Online
238,Online
239,Offline
240,Offline
241,Offline
242,Online
243,Online
244,Offline
245,Online
246,Offline
247,Offline
248,Offline
249,Online
250,Online
251,Offline
252,Offline
253,Offline
254,Offline
255,Online
256,Online
257,Offline
258,Offline
259,Online
260,Online
261,Offline
262,Offline
263,Offline
264,Online
265,Online
266,Online
267,Offline
268,Offline
269,Online
270,Online
271,Offline
272,Online
273,Online
274,Offline
275,Online
276,Offline
277,Offline
278,Offline
279,Offline
280,Offline
281,Offline
282,Offline
283,Online
284,Offline
285,Offline
286,Online
287,Online
288,Online
289,Offline
290,Online
291,Offline
292,Offline
293,Offline
294,Offline
295,Online
296,Online
297,Offline
298,Offline
299,Offline
300,Online
301,Offline
302,Offline
303,Online
304,Online
305,Offline
306,Online
307,Online
308,Offline
309,Online
310,Offline
311,Online
312,Offline
313,Offline
314,Offline
315,Online
316,Offline
317,Online
318,Offline
319,Offline
320,Online
321,Offline
322,Offline
323,Online
324,Offline
325,Offline
326,Offline
327,Offline
328,Online
329,Online
330,Offline
331,Online
332,Offline
333,Online
334,Offline
335,Offline
336,Offline
337,Offline
338,Offline
339,Offline
340,Online
341,Offline
342,Online
343,Offline
344,Online
345,Online
346,Online
347,Offline
348,Offline
349,Online
350,Offline
351,Online
352,Offline
353,Online
354,Online
355,Offline
356,Online
357,Offline
358,Online
359,Online
360,Offline
361,Offline
362,Offline
363,Online
364,Offline
365,Online
366,Online
367,Offline
368,Offline
369,Online
370,Online
371,Offline
372,Offline
373,Offline
374,Offline
375,Offline
376,Online
377,Online
378,Online
379,Online
380,Offline
381,Offline
382,Offline
383,Online
384,Online
385,Offline
386,Offline
387,Online
388,Online
389,Offline
390,Offline
391,Online
392,Offline
393,Offline
394,Offline
395,Online
396,Online
397,Online
398,Online
399,Online
400,Online
401,Online
402,Offline
403,Offline
404,Offline
405,Offline
406,Offline
407,Offline
408,Offline
409,Online
410,Online
411,Offline
412,Offline
413,Online
414,Offline
415,Offline
416,Online
417,Offline
418,Online
419,Offline
420,Online
421,Online
422,Online
423,Offline
424,Online
425,Offline
426,Offline
427,Offline
428,Offline
429,Online
430,Online
431,Offline
432,Offline
433,Online
434,Offline
435,Online
436,Offline
437,Offline
438,Online
439,Offline
440,Online
441,Offline
442,Offline
443,Offline
444,Online
445,Offline
446,Offline
447,Offline
448,Offline
449,Online
450,Online
451,Offline
452,Online
453,Offline
454,Offline
455,Offline
456,Online
457,Online
458,Online
459,Online
460,Online
461,Online
462,Online
463,Online
464,Online
465,Offline
466,Online
467,Online
468,Online
469,Online
470,Online
471,Online
472,Online
473,Online
474,Online
475,Online
476,Online
477,Offline
478,Offline
479,Online
480,Online
481,Offline
482,Online
483,Offline
484,Offline
485,Offline
486,Offline
487,Offline
488,Online
489,Offline
490,Online
491,Online
492,Offline
493,Offline
494,Online
495,Offline
496,Offline
497,Online
498,Online
499,Offline
500,Online
