SaleID,CustomerID,Amount
1,197,4527
2,47,735
3,153,2469
4,194,4929
5,10,2408
6,56,875
7,30,4030
8,109,3135
9,5,2070
10,119,3060
11,33,3891
12,118,3465
13,65,4143
14,146,4350
15,177,1372
16,11,1752
17,85,1814
18,26,3398
19,63,577
20,86,3121
21,59,4727
22,27,1100
23,177,1565
24,161,2636
25,98,2949
26,105,2843
27,99,2363
28,129,1818
29,149,4097
30,55,4262
31,6,2690
32,197,1492
33,95,3212
34,133,2692
35,102,1748
36,3,3554
37,181,4533
38,23,2497
39,53,4187
40,165,2651
41,83,4518
42,145,3610
43,85,2470
44,78,697
45,110,3126
46,1,1702
47,51,2535
48,173,977
49,4,1754
50,190,1422
51,193,919
52,113,2704
53,32,3097
54,34,1620
55,92,3568
56,95,1450
57,72,2836
58,39,2743
59,154,3145
60,162,2357
61,182,2365
62,118,3412
63,3,3353
64,123,3728
65,50,4219
66,12,3728
67,193,2871
68,54,3391
69,133,4256
70,57,4725
71,145,594
72,112,3174
73,47,2455
74,151,1293
75,85,2334
76,142,2616
77,66,4606
78,75,3825
79,179,3419
80,103,3097
81,166,3705
82,192,1314
83,38,845
84,50,2849
85,98,862
86,82,2943
87,30,2765
88,79,2688
89,91,3505
90,179,3781
91,191,1484
92,52,2139
93,166,1327
94,79,3230
95,30,4031
96,106,4951
97,51,3435
98,81,4376
99,133,626
100,29,3677
101,132,3556
102,138,1103
103,184,3949
104,145,4646
105,74,4033
106,17,3867
107,84,3868
108,69,4297
109,34,2292
110,6,3361
111,53,3976
112,194,3917
113,126,2145
114,43,1705
115,115,3530
116,111,3372
117,151,3572
118,183,2354
119,80,4521
120,95,3208
121,118,4002
122,144,1832
123,8,701
124,132,4007
125,104,4712
126,132,1074
127,184,1036
128,25,2125
129,195,2622
130,96,885
131,195,3781
132,155,974
133,93,917
134,160,4100
135,178,1454
136,61,1705
137,122,4620
138,51,2490
139,147,4072
140,21,4880
141,5,4658
142,92,3213
143,170,2703
144,61,3620
145,22,1466
146,149,3932
147,70,1188
148,1,4743
149,133,4201
150,12,841
151,90,2224
152,46,4922
153,34,2292
154,177,2259
155,78,3712
156,45,1489
157,155,2762
158,73,2982
159,26,1451
160,47,1222
161,121,3889
162,56,2579
163,94,3217
164,107,2832
165,63,3876
166,48,2000
167,61,785
168,81,3995
169,26,2565
170,36,1268
171,1,3557
172,8,4789
173,113,2661
174,99,3793
175,180,1446
176,47,3835
177,127,4650
178,56,1981
179,14,2401
180,28,3951
181,78,4564
182,130,554
183,109,2323
184,154,3962
185,14,3579
186,187,1332
187,56,4908
188,115,3306
189,7,2990
190,3,827
191,111,3810
192,151,3800
193,107,4175
194,18,3554
195,38,2643
196,115,1811
197,15,3691
198,192,3038
199,119,4483
200,28,664
201,39,4777
202,185,1322
203,17,1443
204,86,4925
205,126,1274
206,44,2698
207,25,3656
208,145,4742
209,13,4195
210,25,3952
211,68,1414
212,138,1808
213,67,4677
214,109,1013
215,146,2420
216,111,4094
217,111,1909
218,34,3690
219,111,4991
220,8,2055
221,168,1304
222,113,1779
223,83,4077
224,42,3401
225,169,1887
226,101,3261
227,6,3179
228,180,2606
229,26,4723
230,64,3268
231,187,4453
232,184,3686
233,59,3780
234,109,3073
235,198,3099
236,121,4533
237,33,736
238,181,1804
239,150,3930
240,21,1801
241,198,3041
242,70,2551
243,112,941
244,4,2576
245,94,3680
246,75,3157
247,190,4298
248,62,1304
249,94,574
250,95,2675
251,152,4424
252,55,2589
253,137,540
254,131,2581
255,31,2122
256,40,841
257,36,4552
258,152,2574
259,6,1145
260,66,4763
261,75,1109
262,4,954
263,79,3453
264,134,2208
265,118,3972
266,113,3469
267,94,3528
268,179,3181
269,62,4129
270,185,4725
271,194,3567
272,79,1886
273,136,4276
274,26,3366
275,179,3863
276,173,4624
277,44,648
278,133,4350
279,70,2558
280,154,1636
281,118,686
282,68,3354
283,19,1750
284,20,1833
285,113,4693
286,140,4650
287,47,3211
288,1,2285
289,90,1250
290,142,2262
291,64,4420
292,38,4960
293,37,981
294,126,653
295,139,2024
296,100,2620
297,77,2843
298,3,1740
299,161,560
300,134,1438
301,178,2139
302,10,4620
303,5,4726
304,151,4069
305,138,1752
306,172,4703
307,130,671
308,13,1958
309,168,4049
310,130,4697
311,84,2822
312,65,2136
313,63,3615
314,101,4590
315,73,3504
316,17,829
317,9,4140
318,143,4394
319,152,4607
320,38,1841
321,163,4163
322,94,715
323,95,838
324,49,4562
325,69,3208
