SaleID,CustomerID,Amount
326,81,1487
327,118,1718
328,198,1855
329,25,4765
330,89,4635
331,12,2060
332,143,1918
333,59,1454
334,154,1483
335,109,1474
336,26,4633
337,47,4472
338,32,1413
339,10,536
340,16,3887
341,199,2211
342,145,3520
343,151,1295
344,26,4536
345,86,3611
346,135,1824
347,14,817
348,79,2896
349,117,2662
350,7,3245
351,137,2091
352,115,3611
353,176,4430
354,72,2496
355,59,1812
356,82,1785
357,116,4811
358,167,2883
359,146,3739
360,187,2639
361,103,2204
362,17,862
363,14,3104
364,159,2216
365,152,4951
366,108,4786
367,188,4238
368,45,2969
369,98,1056
370,131,1325
371,37,3308
372,171,3219
373,168,4008
374,183,4241
375,108,2074
376,39,4498
377,15,2629
378,120,2903
379,4,3829
380,93,1088
381,153,2512
382,141,2047
383,161,794
384,16,2485
385,170,3617
386,108,2190
387,126,1636
388,194,2564
389,55,4955
390,170,1507
391,34,3014
392,158,4026
393,13,1747
394,141,4402
395,18,1935
396,160,1071
397,96,2882
398,123,1745
399,39,2584
400,46,777
401,29,2387
402,190,1765
403,62,1540
404,185,1417
405,16,1385
406,184,3252
407,121,521
408,10,3691
409,158,2853
410,153,1186
411,103,784
412,84,4247
413,133,1262
414,65,2928
415,177,3007
416,3,528
417,173,1406
418,142,3604
419,120,4499
420,158,3494
421,68,3006
422,146,4109
423,190,4053
424,37,1953
425,153,3856
426,176,1015
427,193,538
428,181,3842
429,73,1386
430,143,3344
431,49,2704
432,121,1598
433,88,2323
434,196,3701
435,140,3655
436,187,3593
437,37,4030
438,61,4278
439,171,3396
440,124,3953
441,198,4011
442,39,1488
443,184,4616
444,63,4526
445,46,4679
446,88,2182
447,11,4463
448,62,1433
449,77,4098
450,153,3733
451,199,2480
452,52,2355
453,4,3556
454,59,1292
455,72,1291
456,148,2309
457,93,2755
458,63,4110
459,54,2107
460,117,1484
461,110,4176
462,74,3880
463,107,1019
464,57,1090
465,169,1550
466,3,4133
467,120,4944
468,6,1459
469,5,1192
470,5,4399
471,54,4973
472,47,3446
473,177,1026
474,9,3724
475,99,2753
476,20,3844
477,122,4465
478,61,2375
479,123,2263
480,163,1020
481,178,1516
482,82,616
483,62,2933
484,145,1083
485,3,894
486,160,4288
487,13,3268
488,120,4667
489,125,4360
490,89,773
491,73,2513
492,68,4933
493,142,1889
494,101,4066
495,98,665
496,11,2067
497,105,1228
498,184,2543
499,67,4697
500,123,3996
