ExpenseID,ExpenseType,Amount
1,Rent,49965
2,Rent,9648
3,Salary,40133
4,Marketing,35523
5,Marketing,34052
6,Rent,39414
7,Marketing,37781
8,Rent,9599
9,Salary,40046
10,Rent,40923
11,Marketing,46089
12,Salary,8814
13,Rent,40984
14,Rent,31616
15,Salary,7113
16,Salary,48006
17,Rent,18760
18,Marketing,26927
19,Rent,25939
20,Salary,37419
21,Rent,17588
22,Salary,41142
23,Salary,44198
24,Marketing,49738
25,Salary,38397
26,Salary,21653
27,Marketing,15831
28,Salary,10724
29,Marketing,16083
30,Marketing,24816
31,Salary,47240
32,Salary,11276
33,Rent,43663
34,Marketing,18994
35,Rent,28499
36,Salary,28040
37,Rent,48320
38,Marketing,21959
39,Rent,11099
40,Marketing,47267
41,Salary,24576
42,Salary,40946
43,Marketing,11116
44,Salary,20563
45,Salary,31788
46,Salary,31928
47,Salary,41336
48,Marketing,14847
49,Rent,31155
50,Rent,19135
