ReturnID,SaleID,RefundAmount
1,392,516
2,267,2186
3,214,834
4,179,2125
5,88,2256
6,41,2470
7,401,1639
8,76,752
9,377,915
10,46,1487
11,160,1913
12,463,2083
13,80,1307
14,310,1541
15,86,310
16,92,450
17,148,2630
18,161,2254
19,202,658
20,424,1307
21,416,407
22,242,1099
23,353,221
24,2,609
25,225,1094
26,289,714
27,233,1008
28,461,1073
29,414,213
30,417,1170
31,77,2334
32,116,1760
33,154,1524
34,406,1466
35,103,2369
36,194,949
37,166,884
38,359,2127
39,90,2556
40,174,894
41,122,2535
42,498,506
43,143,2189
44,482,861
45,106,748
46,375,511
47,428,1282
48,305,1937
49,360,954
50,459,234
