DateKey,Date,Year,Month,Day
20250101,2025-01-01,2025,1,1
20250102,2025-01-02,2025,1,2
20250103,2025-01-03,2025,1,3
20250104,2025-01-04,2025,1,4
20250105,2025-01-05,2025,1,5
20250106,2025-01-06,2025,1,6
20250107,2025-01-07,2025,1,7
20250108,2025-01-08,2025,1,8
20250109,2025-01-09,2025,1,9
20250110,2025-01-10,2025,1,10
20250111,2025-01-11,2025,1,11
20250112,2025-01-12,2025,1,12
20250113,2025-01-13,2025,1,13
20250114,2025-01-14,2025,1,14
20250115,2025-01-15,2025,1,15
20250116,2025-01-16,2025,1,16
20250117,2025-01-17,2025,1,17
20250118,2025-01-18,2025,1,18
20250119,2025-01-19,2025,1,19
20250120,2025-01-20,2025,1,20
20250121,2025-01-21,2025,1,21
20250122,2025-01-22,2025,1,22
20250123,2025-01-23,2025,1,23
20250124,2025-01-24,2025,1,24
20250125,2025-01-25,2025,1,25
20250126,2025-01-26,2025,1,26
20250127,2025-01-27,2025,1,27
20250128,2025-01-28,2025,1,28
20250129,2025-01-29,2025,1,29
20250130,2025-01-30,2025,1,30
20250131,2025-01-31,2025,1,31
20250201,2025-02-01,2025,2,1
20250202,2025-02-02,2025,2,2
20250203,2025-02-03,2025,2,3
20250204,2025-02-04,2025,2,4
20250205,2025-02-05,2025,2,5
20250206,2025-02-06,2025,2,6
20250207,2025-02-07,2025,2,7
20250208,2025-02-08,2025,2,8
20250209,2025-02-09,2025,2,9
20250210,2025-02-10,2025,2,10
20250211,2025-02-11,2025,2,11
20250212,2025-02-12,2025,2,12
20250213,2025-02-13,2025,2,13
20250214,2025-02-14,2025,2,14
20250215,2025-02-15,2025,2,15
20250216,2025-02-16,2025,2,16
20250217,2025-02-17,2025,2,17
20250218,2025-02-18,2025,2,18
20250219,2025-02-19,2025,2,19
20250220,2025-02-20,2025,2,20
20250221,2025-02-21,2025,2,21
20250222,2025-02-22,2025,2,22
20250223,2025-02-23,2025,2,23
20250224,2025-02-24,2025,2,24
20250225,2025-02-25,2025,2,25
20250226,2025-02-26,2025,2,26
20250227,2025-02-27,2025,2,27
20250228,2025-02-28,2025,2,28
20250301,2025-03-01,2025,3,1
20250302,2025-03-02,2025,3,2
20250303,2025-03-03,2025,3,3
20250304,2025-03-04,2025,3,4
20250305,2025-03-05,2025,3,5
20250306,2025-03-06,2025,3,6
20250307,2025-03-07,2025,3,7
20250308,2025-03-08,2025,3,8
20250309,2025-03-09,2025,3,9
20250310,2025-03-10,2025,3,10
20250311,2025-03-11,2025,3,11
20250312,2025-03-12,2025,3,12
20250313,2025-03-13,2025,3,13
20250314,2025-03-14,2025,3,14
20250315,2025-03-15,2025,3,15
20250316,2025-03-16,2025,3,16
20250317,2025-03-17,2025,3,17
20250318,2025-03-18,2025,3,18
20250319,2025-03-19,2025,3,19
20250320,2025-03-20,2025,3,20
20250321,2025-03-21,2025,3,21
20250322,2025-03-22,2025,3,22
20250323,2025-03-23,2025,3,23
20250324,2025-03-24,2025,3,24
20250325,2025-03-25,2025,3,25
20250326,2025-03-26,2025,3,26
20250327,2025-03-27,2025,3,27
20250328,2025-03-28,2025,3,28
20250329,2025-03-29,2025,3,29
20250330,2025-03-30,2025,3,30
20250331,2025-03-31,2025,3,31
20250401,2025-04-01,2025,4,1
20250402,2025-04-02,2025,4,2
20250403,2025-04-03,2025,4,3
20250404,2025-04-04,2025,4,4
20250405,2025-04-05,2025,4,5
20250406,2025-04-06,2025,4,6
20250407,2025-04-07,2025,4,7
20250408,2025-04-08,2025,4,8
20250409,2025-04-09,2025,4,9
20250410,2025-04-10,2025,4,10
20250411,2025-04-11,2025,4,11
20250412,2025-04-12,2025,4,12
20250413,2025-04-13,2025,4,13
20250414,2025-04-14,2025,4,14
20250415,2025-04-15,2025,4,15
20250416,2025-04-16,2025,4,16
20250417,2025-04-17,2025,4,17
20250418,2025-04-18,2025,4,18
20250419,2025-04-19,2025,4,19
20250420,2025-04-20,2025,4,20
20250421,2025-04-21,2025,4,21
20250422,2025-04-22,2025,4,22
20250423,2025-04-23,2025,4,23
20250424,2025-04-24,2025,4,24
20250425,2025-04-25,2025,4,25
20250426,2025-04-26,2025,4,26
20250427,2025-04-27,2025,4,27
20250428,2025-04-28,2025,4,28
20250429,2025-04-29,2025,4,29
20250430,2025-04-30,2025,4,30
20250501,2025-05-01,2025,5,1
20250502,2025-05-02,2025,5,2
20250503,2025-05-03,2025,5,3
20250504,2025-05-04,2025,5,4
20250505,2025-05-05,2025,5,5
20250506,2025-05-06,2025,5,6
20250507,2025-05-07,2025,5,7
20250508,2025-05-08,2025,5,8
20250509,2025-05-09,2025,5,9
20250510,2025-05-10,2025,5,10
20250511,2025-05-11,2025,5,11
20250512,2025-05-12,2025,5,12
20250513,2025-05-13,2025,5,13
20250514,2025-05-14,2025,5,14
20250515,2025-05-15,2025,5,15
20250516,2025-05-16,2025,5,16
20250517,2025-05-17,2025,5,17
20250518,2025-05-18,2025,5,18
20250519,2025-05-19,2025,5,19
20250520,2025-05-20,2025,5,20
20250521,2025-05-21,2025,5,21
20250522,2025-05-22,2025,5,22
20250523,2025-05-23,2025,5,23
20250524,2025-05-24,2025,5,24
20250525,2025-05-25,2025,5,25
20250526,2025-05-26,2025,5,26
20250527,2025-05-27,2025,5,27
20250528,2025-05-28,2025,5,28
20250529,2025-05-29,2025,5,29
20250530,2025-05-30,2025,5,30
20250531,2025-05-31,2025,5,31
20250601,2025-06-01,2025,6,1
20250602,2025-06-02,2025,6,2
20250603,2025-06-03,2025,6,3
20250604,2025-06-04,2025,6,4
20250605,2025-06-05,2025,6,5
20250606,2025-06-06,2025,6,6
20250607,2025-06-07,2025,6,7
20250608,2025-06-08,2025,6,8
20250609,2025-06-09,2025,6,9
20250610,2025-06-10,2025,6,10
20250611,2025-06-11,2025,6,11
20250612,2025-06-12,2025,6,12
20250613,2025-06-13,2025,6,13
20250614,2025-06-14,2025,6,14
20250615,2025-06-15,2025,6,15
20250616,2025-06-16,2025,6,16
20250617,2025-06-17,2025,6,17
20250618,2025-06-18,2025,6,18
20250619,2025-06-19,2025,6,19
20250620,2025-06-20,2025,6,20
20250621,2025-06-21,2025,6,21
20250622,2025-06-22,2025,6,22
20250623,2025-06-23,2025,6,23
20250624,2025-06-24,2025,6,24
20250625,2025-06-25,2025,6,25
20250626,2025-06-26,2025,6,26
20250627,2025-06-27,2025,6,27
20250628,2025-06-28,2025,6,28
20250629,2025-06-29,2025,6,29
