ProductKey,StoreKey,StockQty
5,7,49
137,8,52
180,10,14
53,2,94
164,1,81
98,2,222
23,1,140
27,3,256
85,9,287
213,9,126
69,2,98
31,9,210
41,5,290
152,3,200
19,8,212
195,10,241
259,5,93
17,1,44
147,2,152
139,3,141
201,1,253
115,8,96
127,9,226
35,6,198
87,9,174
140,8,175
241,7,119
251,10,267
88,10,127
15,6,170
256,8,250
274,4,209
228,7,18
241,5,61
21,6,121
140,9,62
163,1,153
118,10,38
122,6,232
14,3,281
183,9,219
197,7,17
215,4,192
158,8,211
9,8,177
42,3,54
30,2,266
149,3,209
85,3,204
160,5,63
270,1,76
143,6,160
32,9,188
120,6,217
192,4,182
81,5,135
241,8,179
20,8,223
186,6,244
115,8,139
287,6,89
170,2,97
88,6,292
149,7,244
27,2,261
167,3,90
246,10,99
141,10,229
168,3,117
204,8,140
300,10,37
73,1,124
265,6,147
20,8,10
31,9,144
46,6,52
66,5,83
213,10,173
241,6,123
279,6,45
104,10,256
193,4,180
83,10,155
214,2,169
67,7,95
12,5,40
262,6,82
12,7,135
105,5,218
40,2,279
256,9,263
97,8,83
267,3,205
179,10,106
112,9,31
147,2,43
247,2,206
25,4,113
119,1,268
192,5,154
45,9,164
128,7,230
28,3,18
102,2,123
242,9,286
25,3,44
17,10,133
213,8,221
256,8,247
233,4,223
176,8,203
160,6,188
153,6,39
107,5,268
57,10,179
129,4,193
57,2,35
72,7,114
294,6,200
106,4,35
276,10,79
99,4,106
43,4,196
36,5,276
162,6,24
238,1,83
193,5,18
222,3,226
8,7,235
145,2,173
64,5,166
260,8,233
81,2,225
147,9,135
131,3,242
297,8,137
28,3,154
28,7,300
168,8,96
177,3,27
81,4,194
260,10,115
233,8,67
83,6,289
93,9,145
272,9,53
154,10,193
43,7,180
299,2,151
161,7,160
153,7,138
165,3,131
300,1,25
133,2,199
87,5,89
270,7,263
276,6,179
131,8,14
36,9,250
250,10,187
24,2,164
193,8,32
117,7,260
74,6,32
66,9,24
30,5,49
237,8,26
254,4,148
217,1,137
55,7,60
114,5,16
250,10,75
45,7,147
180,8,175
91,8,186
148,3,267
104,3,297
205,8,267
174,2,191
27,7,210
267,9,45
178,6,249
57,6,196
213,7,51
216,7,296
299,5,32
290,4,225
123,7,138
209,1,184
292,6,170
62,7,69
37,4,116
172,7,106
96,3,143
191,2,271
77,6,212
207,2,75
42,3,229
291,8,169
286,7,258
284,5,279
247,10,269
210,4,53
293,7,124
30,6,92
254,1,143
105,7,103
93,6,298
41,7,138
69,4,12
62,3,257
145,7,15
57,8,209
105,2,56
293,9,227
125,8,18
269,6,187
116,7,12
216,3,98
99,1,221
97,6,223
241,4,190
252,8,201
201,10,158
86,10,276
159,2,10
153,1,28
112,3,250
105,1,121
66,5,278
90,8,165
196,4,176
66,4,184
212,2,69
286,9,87
7,4,286
2,7,178
259,7,81
35,9,181
103,2,62
49,3,267
41,8,258
16,4,210
218,7,211
118,7,165
246,3,269
38,4,91
213,6,273
144,6,15
99,4,261
26,3,152
16,4,261
185,4,186
102,2,112
80,5,185
65,8,178
213,8,60
299,6,34
128,1,199
207,9,242
285,1,243
35,3,213
169,3,155
150,9,46
257,6,91
259,4,269
258,3,12
38,6,71
142,10,249
227,8,221
138,10,55
126,7,53
210,6,235
212,6,80
261,3,78
199,2,300
168,5,298
13,3,298
157,9,144
298,5,107
132,6,244
246,7,212
40,4,287
275,7,185
175,1,27
299,2,198
178,7,237
264,4,82
107,10,196
97,7,17
60,10,155
45,3,245
16,7,206
55,9,177
118,7,27
272,8,283
22,8,79
1,3,24
115,4,291
282,2,44
81,1,228
203,8,229
113,8,93
9,4,237
115,5,138
258,4,202
186,7,257
1,8,61
297,1,187
208,6,261
147,4,218
251,8,27
163,5,210
231,4,134
39,7,138
3,10,184
139,7,291
273,8,133
26,6,274
258,7,283
64,1,92
170,4,58
70,10,100
217,7,75
162,5,263
261,1,26
289,6,274
27,5,17
47,5,207
63,6,249
7,1,23
37,10,38
18,8,117
266,9,173
132,7,235
119,5,264
