OrderKey,CustomerKey,ChannelKey,PaymentKey
20001,6385,2,3
20002,6250,1,2
20003,5505,1,3
20004,5461,1,3
20005,6444,1,4
20006,5650,1,3
20007,6148,2,3
20008,5590,1,4
20009,5809,1,2
20010,5595,1,3
20011,6463,1,3
20012,5906,2,3
20013,5982,1,2
20014,6104,1,3
20015,5282,1,2
20016,5497,1,2
20017,6307,1,1
20018,5206,1,3
20019,6470,1,1
20020,6396,1,1
20021,6128,1,4
20022,6338,1,4
20023,6333,1,3
20024,5658,1,1
20025,5184,2,2
20026,6096,2,1
20027,5359,1,2
20028,5075,1,4
20029,5382,2,3
20030,5077,1,3
20031,6164,2,1
20032,5687,1,4
20033,6314,2,4
20034,5275,2,4
20035,5559,1,1
20036,5678,1,4
20037,6328,1,2
20038,5029,2,3
20039,5605,2,2
20040,5360,2,4
20041,5876,2,3
20042,5178,1,1
20043,5379,1,4
20044,5663,1,1
20045,5535,1,2
20046,5915,1,3
20047,5619,2,1
20048,5536,2,3
20049,6419,1,1
20050,6368,1,4
20051,5629,1,4
20052,6406,2,3
20053,6414,1,3
20054,5753,2,2
20055,5449,1,4
20056,5314,1,3
20057,5852,2,4
20058,6101,2,2
20059,5507,2,1
20060,6077,1,3
20061,5160,2,1
20062,5127,2,2
20063,6173,2,2
20064,5337,1,4
20065,5239,2,2
20066,6469,2,4
20067,5187,2,4
20068,5114,1,2
20069,6052,1,4
20070,6155,1,4
20071,6378,1,1
20072,5811,1,1
20073,5447,2,1
20074,5093,1,3
20075,6435,1,1
20076,5142,1,1
20077,5588,1,2
20078,5278,2,4
20079,5767,1,4
20080,5774,1,1
20081,6399,2,2
20082,6339,1,1
20083,5366,2,4
20084,6084,1,2
20085,5008,1,3
20086,5949,2,4
20087,6090,1,2
20088,5507,1,3
20089,5318,1,2
20090,6485,1,1
20091,6353,1,1
20092,5493,1,1
20093,5207,2,1
20094,5915,2,1
20095,5502,2,1
20096,5824,1,2
20097,6106,1,1
20098,5287,2,3
20099,5480,2,3
20100,6183,2,3
20101,5486,1,2
20102,6353,2,2
20103,5847,1,3
20104,5125,2,2
20105,6283,2,4
20106,6139,1,1
20107,5706,2,4
20108,6075,1,4
20109,5837,1,3
20110,5771,1,4
20111,5494,1,3
20112,6450,1,4
20113,5119,2,4
20114,5854,2,2
20115,5796,1,3
20116,5417,1,1
20117,5922,1,1
20118,6097,2,2
20119,5106,1,4
20120,6380,2,1
20121,5150,1,2
20122,5982,1,3
20123,5621,1,2
20124,5390,2,1
20125,5981,1,2
20126,5813,1,3
20127,5580,1,4
20128,6093,2,3
20129,5632,1,3
20130,6051,1,4
20131,5202,2,4
