ProductKey,ProductName,SubCategoryKey,FabricKey,SizeKey,SupplierKey,CostPrice,RetailPrice
1,Kurta,11,1,3,4,601.78,3787.77
2,Jacket,11,1,5,7,257.21,831.0
3,Denim Jeans,4,5,1,9,557.91,3389.47
4,T-Shirt,9,2,4,10,700.74,4398.78
5,Kurta Set,13,6,4,6,700.17,1390.44
6,Bridal Gown,13,1,1,7,374.09,4298.47
7,Bridal Lehenga,10,1,4,9,424.69,4642.56
8,Jacket,2,3,5,6,1239.23,3641.03
9,Salwar Suit,1,3,1,4,1759.67,2148.58
10,Dupatta,8,2,3,6,577.11,1628.1
11,Designer Saree,15,5,2,9,1512.43,1151.65
12,Bridal Lehenga,7,6,5,4,1432.31,4277.12
13,Silk Saree,13,2,1,6,922.1,704.47
14,Winter Hoodie,15,6,3,4,1379.79,2219.91
15,Graphic T-Shirt,15,2,3,3,643.93,2982.29
16,Winter Hoodie,5,4,5,7,851.59,4987.7
17,Denim Jeans,3,4,1,1,1749.99,1103.07
18,T-Shirt,3,5,1,7,886.91,4982.16
19,Bridal Lehenga,9,5,1,2,1427.08,2870.06
20,Bridal Gown,5,1,3,7,484.68,414.93
21,Bridal Lehenga,12,5,2,9,1842.73,4404.39
22,Denim Jeans,5,5,2,3,873.04,1143.13
23,Denim Jeans,13,1,5,6,1079.49,914.59
24,Wedding Lehenga,6,2,1,4,1780.42,4755.97
25,Casual Shirt,2,1,5,3,431.1,2586.3
26,Kurta Set,9,3,5,10,961.65,1374.27
27,Anarkali Dress,9,6,3,7,1991.27,3389.44
28,Denim Jeans,8,4,1,4,604.46,1955.19
29,Jacket,10,2,5,4,212.94,3656.07
30,Salwar Suit,1,1,1,6,327.54,1494.82
31,Casual Shirt,11,2,5,3,1502.03,4458.96
32,Casual Shirt,10,2,4,7,542.74,845.88
33,Dupatta,7,4,4,8,1754.91,649.19
34,Kurta,11,1,4,6,1641.07,902.64
35,Anarkali Dress,4,5,4,3,959.39,1681.31
36,Designer Saree,4,4,5,2,291.06,4996.7
37,Saree,14,1,2,3,931.55,2614.25
38,Ethnic Skirt,14,1,2,7,203.88,2195.94
39,Graphic T-Shirt,15,3,4,9,1391.37,2638.69
40,Wedding Lehenga,4,2,1,10,1524.33,680.4
41,Silk Saree,6,1,5,8,1105.13,4322.51
42,Silk Saree,3,5,1,3,323.34,712.62
43,Salwar Suit,14,4,1,10,643.19,3134.79
44,Designer Saree,10,4,5,10,1141.01,4699.65
45,Bridal Gown,4,2,3,7,435.58,3369.3
46,Bridal Gown,8,1,1,8,1318.09,2989.77
47,Designer Saree,2,5,2,9,677.36,4692.99
48,Designer Saree,15,2,3,5,483.94,4235.23
49,Wedding Lehenga,12,5,5,1,1402.15,2951.17
50,Kurta,15,2,3,2,1801.48,3815.12
51,Bridal Lehenga,3,3,5,4,1491.7,1336.55
52,Bridal Lehenga,11,5,4,5,1829.61,4292.08
53,T-Shirt,2,3,1,1,800.4,1001.77
54,Kurta Set,5,6,4,9,1470.2,2980.17
55,Designer Saree,2,6,2,9,264.85,2098.39
56,Printed Kurta,9,4,2,1,754.87,4535.31
57,Silk Saree,13,3,2,4,1400.48,2026.92
58,T-Shirt,9,5,2,4,1756.29,4890.55
59,Kurta Set,13,4,1,3,1525.82,1928.05
60,T-Shirt,15,6,2,5,486.56,3625.88
61,Silk Saree,7,4,2,4,1669.86,2517.39
62,Salwar Suit,5,2,1,4,917.24,1681.57
63,Bridal Lehenga,2,3,5,7,1423.13,4280.84
64,Saree,6,1,3,3,1245.06,4924.33
65,Kurta,1,5,4,6,1511.38,1842.92
66,Denim Jeans,10,1,4,10,542.14,604.18
67,Saree,7,5,5,4,855.6,721.88
68,Bridal Gown,11,5,3,2,1495.56,1781.48
69,T-Shirt,5,3,4,5,1197.94,1282.46
70,Ethnic Skirt,11,6,2,10,1224.39,2267.95
71,Saree,14,3,3,4,973.8,3067.93
72,Bridal Gown,11,4,4,8,1416.13,2751.4
73,Kurta Set,13,6,1,5,1127.81,3311.53
74,Designer Saree,6,2,3,4,1651.81,1077.83
75,Salwar Suit,1,4,5,2,1019.75,4476.23
76,Anarkali Dress,10,6,4,8,919.38,1078.83
77,Saree,12,1,4,4,516.6,4806.64
78,Graphic T-Shirt,9,1,5,4,1851.45,958.25
79,Graphic T-Shirt,3,6,5,9,1271.81,4770.18
80,Graphic T-Shirt,15,5,5,7,1695.02,2920.21
81,Kurta Set,15,6,4,8,666.54,1537.3
82,Bridal Lehenga,11,5,4,4,694.28,756.42
83,Salwar Suit,5,3,3,6,1807.45,770.66
