ShipmentKey,OrderKey,Courier,ShipmentStatus,DeliveryDays
1,21103,BlueDart,Delivered,3
2,23077,BlueDart,Processing,7
3,24845,BlueDart,Shipped,3
4,25912,DTDC,Processing,7
5,25368,Delhivery,Packed,6
6,25464,Ekart,Packed,7
7,25690,DTDC,Processing,7
8,20797,BlueDart,Out for Delivery,1
9,21163,Ekart,Packed,4
10,22942,Ekart,Delivered,3
11,23174,Ekart,Packed,2
12,20222,Ekart,Processing,6
13,21280,Delhivery,Packed,4
14,20441,DTDC,Processing,3
15,25032,BlueDart,Out for Delivery,2
16,24568,DTDC,Shipped,1
17,21363,Delhivery,Out for Delivery,6
18,25911,Delhivery,Out for Delivery,4
19,24840,Delhivery,Out for Delivery,2
20,21065,BlueDart,Shipped,5
21,25326,Delhivery,Shipped,3
22,22139,BlueDart,Processing,2
23,25745,Ekart,Processing,2
24,20481,Delhivery,Processing,5
25,22976,DTDC,Out for Delivery,5
26,25242,DTDC,Shipped,4
27,22526,Delhivery,Shipped,4
28,24835,Ekart,Shipped,3
29,23483,BlueDart,Packed,3
30,23929,Delhivery,Packed,7
31,22058,DTDC,Out for Delivery,1
32,20906,Delhivery,Delivered,1
33,20971,Delhivery,Processing,2
34,20219,DTDC,Delivered,2
35,20823,DTDC,Out for Delivery,3
36,20738,DTDC,Packed,4
37,24230,Delhivery,Delivered,1
38,24235,Delhivery,Shipped,4
39,20880,BlueDart,Delivered,1
40,25897,Delhivery,Shipped,6
41,20499,DTDC,Processing,2
42,24165,Delhivery,Out for Delivery,4
43,20833,BlueDart,Processing,4
44,25838,BlueDart,Shipped,1
45,20392,Ekart,Shipped,5
46,22258,DTDC,Shipped,2
47,23282,BlueDart,Processing,6
48,21611,Delhivery,Processing,5
49,23565,BlueDart,Shipped,5
50,24327,Ekart,Out for Delivery,4
51,25763,DTDC,Delivered,3
52,24065,Delhivery,Packed,1
53,24598,Delhivery,Shipped,2
54,25498,BlueDart,Delivered,4
55,21283,DTDC,Shipped,7
56,23584,DTDC,Out for Delivery,7
57,21220,Delhivery,Shipped,5
58,20525,BlueDart,Packed,6
59,23892,Delhivery,Processing,1
60,22180,DTDC,Out for Delivery,4
61,20821,Ekart,Shipped,6
62,24828,Delhivery,Processing,7
63,20955,Delhivery,Out for Delivery,5
64,23979,DTDC,Processing,3
65,20306,Delhivery,Shipped,5
66,21933,Delhivery,Delivered,7
67,25734,Ekart,Delivered,1
68,22581,BlueDart,Processing,3
69,21411,Delhivery,Shipped,5
70,24988,Delhivery,Delivered,3
71,25297,DTDC,Out for Delivery,7
72,24966,DTDC,Packed,6
73,20534,BlueDart,Out for Delivery,5
74,23597,Delhivery,Out for Delivery,4
75,24940,Ekart,Processing,4
76,23130,Delhivery,Packed,2
77,23973,Ekart,Processing,4
78,23932,Ekart,Packed,2
79,21428,Ekart,Out for Delivery,2
80,21728,Ekart,Delivered,5
81,20934,DTDC,Processing,1
82,25829,Ekart,Packed,4
83,25410,BlueDart,Processing,2
84,23828,Delhivery,Delivered,4
85,24429,BlueDart,Processing,1
86,23365,Delhivery,Packed,6
87,25451,Delhivery,Shipped,1
88,24471,Delhivery,Packed,3
89,25607,DTDC,Packed,1
90,20685,DTDC,Processing,6
91,24404,Ekart,Delivered,1
92,20579,DTDC,Shipped,3
93,24384,BlueDart,Packed,7
94,20986,DTDC,Shipped,5
95,24204,BlueDart,Delivered,4
96,24153,Ekart,Out for Delivery,1
97,24417,BlueDart,Processing,7
98,20211,Ekart,Delivered,1
99,23431,DTDC,Shipped,4
100,25461,Delhivery,Packed,7
101,21548,DTDC,Delivered,1
102,22454,DTDC,Processing,7
103,25309,Delhivery,Packed,5
104,24094,Ekart,Packed,5
105,25493,DTDC,Delivered,5
106,21233,DTDC,Out for Delivery,5
107,25491,DTDC,Processing,3
108,20354,Ekart,Packed,6
109,20966,Ekart,Processing,7
110,24760,DTDC,Processing,3
