ReturnID,SaleID,ReasonKey,ReturnAmount
1,18004,3,702.39
2,13641,3,2009.99
3,29474,3,396.76
4,24958,2,529.08
5,13389,4,2298.05
6,10418,2,2939.69
7,17732,1,423.15
8,18119,3,1744.93
9,7671,3,665.33
10,22192,1,2159.61
11,15169,1,2804.57
12,2688,4,2131.49
13,11265,1,2222.18
14,13087,4,1661.89
15,8404,4,1847.74
16,4532,4,1131.81
17,26400,4,1817.6
18,24091,3,1915.03
19,5814,3,1763.2
20,23452,4,2346.33
21,2968,2,2420.18
22,19554,1,1611.44
23,20224,2,2570.09
24,1214,2,1151.89
25,27372,3,2202.86
26,14271,2,1469.82
27,2651,1,2521.39
28,239,2,1813.71
29,2699,2,1256.15
30,6831,3,306.68
31,7180,4,1750.65
32,25607,4,2195.23
33,11699,4,2309.06
34,12907,4,2210.36
35,20842,4,2742.4
36,10421,2,2190.5
37,25877,3,2625.12
38,28155,2,631.11
39,28999,4,2359.96
40,9370,3,2620.2
41,11541,1,1112.52
42,26838,4,2317.35
43,12758,3,724.17
44,24638,4,2139.95
45,842,4,1265.86
46,15719,4,1544.42
47,29350,3,2882.27
48,24646,2,1310.61
49,13423,4,1743.88
50,15497,1,610.56
51,25378,1,1743.02
52,24598,2,1749.76
53,23924,1,1509.07
54,28075,1,2302.27
55,2833,4,865.19
56,13718,4,1135.01
57,28850,3,2022.25
58,28301,2,1205.78
59,2692,1,2676.51
60,9129,3,2835.24
61,15247,1,1814.88
62,18628,2,2499.1
63,28347,3,1099.82
64,3554,2,419.82
65,8153,1,2732.96
66,17299,2,2748.91
67,24253,1,457.65
68,28561,2,1765.18
69,2230,1,467.81
70,7878,3,980.13
71,8568,3,2033.17
72,27849,4,2860.77
73,7724,1,1592.4
74,28154,4,1024.89
75,26795,1,1963.76
76,5600,3,1718.53
77,10913,4,1866.14
78,22656,2,2441.41
79,28331,2,472.96
80,1531,1,1219.13
81,24723,3,1916.19
82,6695,3,2791.35
83,3211,2,2847.57
84,6673,3,979.93
85,26458,4,423.47
86,29952,4,2551.52
87,10320,2,517.33
88,8244,2,1082.91
89,28233,4,1678.3
90,15587,2,1294.91
91,8001,2,1156.11
92,16140,3,2051.44
93,3166,1,2309.81
94,4152,4,2069.35
95,28953,2,1238.71
96,1196,1,2231.16
97,11495,2,1628.48
98,29374,3,2528.93
99,1272,3,1614.71
100,21588,3,1926.19
101,21878,2,1497.75
102,29838,4,391.36
103,11273,1,1207.97
104,28511,2,237.83
105,9856,3,1137.86
106,22473,3,2091.04
107,20122,4,494.99
108,1796,3,2881.76
109,24362,3,2673.6
110,17737,2,473.75
111,15759,4,854.54
112,15926,2,1428.28
113,11944,4,427.68
114,20677,3,424.6
115,3994,1,2782.74
116,21984,4,1711.79
117,19908,1,1322.04
118,24393,3,1226.2
119,276,2,397.1
120,4664,3,541.69
121,2171,4,1095.5
122,9258,2,702.52
123,5465,3,1126.11
124,2006,3,1359.34
125,24244,4,2013.77
126,15509,1,506.59
127,24667,4,2937.16
128,20982,3,2573.75
129,14077,1,879.8
130,9417,4,2260.89
131,17691,3,958.94
132,4079,1,2637.99
133,23723,4,1091.48
134,9972,4,536.77
135,19102,3,1813.49
136,3224,4,292.61
137,25594,1,1941.86
138,19644,1,983.85
139,7358,2,2204.33
140,10546,1,594.77
141,5405,4,962.97
142,24434,3,2852.09
143,21348,1,1751.4
144,15216,4,1292.06
145,22437,2,878.3
146,13536,1,1321.3
147,17489,3,2017.3
148,18447,3,2568.73
149,13916,4,2795.93
150,13371,2,838.03
151,21274,1,1520.84
152,4368,3,376.3
153,6847,2,1846.24
154,7654,2,1789.1
155,944,1,2878.32
156,23210,1,2658.77
157,28535,2,2500.58
158,8697,1,1167.12
159,15873,2,2004.78
160,27621,3,1266.03
161,21050,1,2195.77
162,6084,1,2837.47
163,19198,4,2445.06
164,6507,2,2498.29
165,12928,4,617.59
166,18509,2,1986.68
167,5604,4,2749.68
168,21411,1,2645.34
169,27904,2,904.21
170,12927,2,460.2
171,18577,3,2160.32
172,27143,4,1566.34
173,27932,2,2424.36
174,3055,3,1987.14
175,16529,3,2948.15
176,20617,2,1689.46
177,12746,2,1597.4
178,24266,3,1125.63
179,11667,1,2793.9
180,29421,4,2245.39
181,21505,2,1772.9
182,11484,1,2745.58
183,12258,1,1224.58
184,29962,1,2869.52
185,1112,3,1141.92
186,21408,3,2767.16
187,29494,1,2227.81
188,28342,1,2403.19
189,2135,4,2492.01
190,24974,1,2212.32
191,20080,3,1801.69
192,1221,4,2820.72
193,23193,1,1725.05
194,8466,3,1508.47
195,19171,4,2694.77
196,1186,1,1607.35
197,11460,2,217.11
198,13016,3,435.28
199,8650,4,1079.99
200,29398,2,1369.43
201,2992,1,2332.47
202,15018,3,2765.79
203,10631,1,1276.39
204,352,2,1237.37
205,28616,4,1449.95
206,21957,4,1818.81
207,587,3,928.52
208,10277,1,721.1
209,13395,4,464.37
210,3871,1,2767.88
211,29543,4,1630.64
212,11635,2,2604.74
213,21269,4,1659.7
214,18930,2,2123.96
215,23593,4,1179.62
216,17504,2,1500.98
217,7711,2,1918.07
218,8528,4,1777.48
219,8580,3,2841.87
220,23726,3,2665.78
221,6233,3,2790.94
222,17718,1,1562.59
223,24736,2,2832.94
224,9015,3,1325.54
225,5150,4,2677.54
226,11572,2,1575.58
227,17569,4,1247.74
228,9072,1,1202.58
229,22154,1,2638.59
230,28237,4,940.32
231,20959,3,1081.25
232,2761,2,1764.18
233,14709,3,2694.46
234,26364,3,1714.38
235,27384,4,2610.76
236,17414,4,2877.02
237,25575,1,2932.46
238,8275,4,2067.56
239,13736,2,1854.61
240,8863,3,1110.19
241,5928,3,1056.31
242,21012,3,286.63
243,28891,3,926.45
244,9320,4,1153.93
245,85,4,224.39
246,6028,2,2308.49
247,20671,1,1012.43
248,785,1,2493.71
249,3311,3,1536.12
250,18162,3,1890.06
251,7690,2,564.17
252,19099,3,1718.37
253,3657,2,1956.79
254,6828,1,2975.88
255,20313,1,1556.45
256,9143,1,882.65
257,19746,2,1248.28
258,29899,3,2634.69
259,19782,1,1788.87
260,26945,3,798.14
261,15814,3,2084.25
262,29682,2,2324.41
263,8441,2,714.27
264,8755,2,1864.06
265,29134,4,1134.47
266,9413,2,817.12
267,18435,4,855.85
268,26078,1,1132.0
269,3432,2,1661.66
270,21877,1,935.93
271,19427,4,2657.43
272,19535,3,1065.57
273,29045,2,1509.36
274,18093,4,1719.29
275,18028,4,2732.21
276,11104,1,2793.05
277,9501,2,758.99
278,26874,1,589.17
279,25336,4,1816.39
280,26283,4,2948.7
281,14158,2,2242.16
282,13338,2,1857.95
283,22288,1,2085.82
284,18174,2,501.48
285,4285,2,1682.32
286,12672,2,2239.69
287,17304,4,205.13
288,6261,2,576.55
289,17170,4,1615.03
290,12990,1,2089.0
291,29046,1,1934.24
292,5867,4,2634.21
293,23133,2,737.54
294,27703,2,1264.95
295,7851,2,922.98
296,28181,2,1713.33
297,27554,3,1287.02
298,17741,2,617.13
299,27947,4,2062.2
300,18320,1,984.15
301,29273,4,2484.77
302,6939,2,2716.98
303,3934,3,2556.83
304,27162,3,1187.07
305,26280,1,1279.98
306,4773,2,2224.99
307,28803,3,2063.17
308,3802,2,2590.45
309,14476,3,2407.91
310,12047,4,1498.35
311,3330,1,2697.41
312,15857,3,1274.95
313,16150,1,1138.9
314,17036,3,1480.41
315,20834,2,1838.82
316,26415,2,2032.33
317,469,2,1187.59
318,7540,1,1198.76
319,13742,4,790.85
320,3240,4,501.61
321,20674,2,2386.29
322,24848,4,2198.34
323,2101,1,2808.34
324,12486,3,1096.05
325,7962,4,2622.44
326,13943,3,1329.35
327,7763,3,943.74
328,25786,2,785.1
329,27421,1,765.66
330,8345,3,1149.0
331,13054,3,2249.92
332,20658,1,1170.57
333,25697,4,1628.31
334,14496,3,1475.59
335,1620,3,1780.42
336,21347,1,2406.7
337,29231,2,422.09
338,23606,3,1875.11
339,5162,1,2458.48
340,8695,4,1922.6
341,8834,4,1816.5
342,918,2,617.04
343,11124,2,2992.49
344,17075,3,1895.98
345,3739,1,2138.29
346,28584,4,1552.35
347,5887,2,2429.41
348,5974,2,2504.67
349,17941,4,802.86
350,3978,3,2462.13
351,18824,2,473.2
352,17463,2,1671.85
353,9208,1,2946.44
354,11836,2,737.72
355,4198,4,2395.88
356,25009,2,2542.43
357,4783,1,2690.89
358,4936,4,1677.92
359,11769,1,960.59
360,15122,3,2285.73
361,26970,2,1959.7
362,16087,2,1262.66
363,8089,1,1253.02
364,9527,4,2837.28
365,17439,3,2404.94
366,27883,1,1530.17
367,17871,2,2549.96
368,23126,1,945.05
369,18702,3,1234.25
370,1194,1,2333.33
371,15085,2,1063.71
372,25413,1,2403.69
373,7802,2,360.92
374,26775,4,2271.29
375,5587,4,2919.53
376,21015,1,1982.23
377,22897,1,275.12
378,17363,4,1572.83
379,5988,2,1689.92
380,22473,2,1990.11
381,13788,4,2545.91
382,7659,2,1727.47
383,12738,1,1088.69
384,4746,3,306.68
385,6813,1,1592.59
386,10751,2,891.41
387,10205,3,461.82
388,25388,1,1567.29
389,5061,3,1705.51
390,19499,2,1277.79
391,27066,4,806.03
392,25888,4,944.78
393,29841,1,1172.7
394,25554,4,2284.54
395,23251,2,2842.7
396,13756,2,301.72
397,26238,2,2238.57
398,12550,3,2486.36
399,19855,3,1982.08
400,4685,4,2874.4
401,11684,1,2695.26
402,10477,3,537.22
403,18589,3,1520.79
404,5354,1,777.31
405,19158,1,1637.37
406,19134,1,2453.41
407,3606,4,2115.81
408,12491,1,402.02
409,5928,1,2981.62
410,20474,4,1785.31
411,1697,2,2658.88
412,1327,2,1907.63
413,12574,4,1102.77
414,6235,4,1276.39
415,15282,2,791.75
416,17774,1,2171.07
417,28864,2,215.62
418,8576,3,1620.14
419,28931,2,2886.76
420,7574,3,804.48
421,3897,4,308.56
422,29966,3,787.44
423,23029,1,1533.97
424,19049,4,2771.39
425,16707,4,958.24
426,7800,2,2131.03
427,29456,4,449.13
428,18979,3,1668.64
429,11915,1,455.61
430,17692,3,2974.05
431,4334,4,2208.5
432,23520,3,1906.73
433,18244,1,2312.09
434,14633,3,224.46
435,2741,2,330.36
436,16236,3,2452.09
437,1992,4,2610.37
438,13456,2,1144.26
439,9355,2,489.05
440,19553,2,1520.94
441,7788,2,1077.57
442,23619,4,2313.5
443,29771,3,1491.61
444,17369,4,2986.44
445,11384,2,1551.1
446,14365,2,1483.06
447,25784,4,2803.15
448,12454,2,2467.62
449,4314,4,914.39
450,25547,3,930.06
451,5478,4,516.55
452,3653,1,2899.98
453,9065,4,2091.81
454,28505,4,1025.73
455,16151,2,2999.0
456,12187,1,2377.81
457,7389,1,247.03
458,9716,2,945.61
459,26321,4,1700.7
460,3316,2,408.08
461,5232,4,393.43
462,915,3,2376.96
463,23590,4,2513.72
464,21315,2,1186.91
465,16702,4,1767.05
466,11274,4,465.74
467,28417,4,1731.64
468,21029,1,806.07
469,908,1,529.07
470,16447,1,2622.77
471,19644,4,391.64
472,12122,1,825.41
473,16886,3,1471.67
474,7352,4,1916.15
475,13394,3,2684.98
476,1569,2,813.09
477,7444,1,875.23
478,5206,4,899.81
479,20154,2,1053.3
480,14518,4,971.38
481,20371,1,2064.07
482,12848,1,1977.69
483,2967,3,1332.6
484,26353,1,550.94
485,15856,2,2250.98
486,8073,1,2598.16
487,3793,4,1377.13
488,12178,2,2727.31
489,18088,4,2978.82
490,4109,2,607.3
491,8325,3,2390.43
492,27367,3,1983.91
493,20371,2,518.89
494,27287,1,1242.93
495,16873,2,989.28
496,12425,4,2703.96
497,5164,2,1946.85
498,24538,4,1902.29
499,2127,4,1385.28
500,17909,1,1120.79
501,6218,1,1324.0
502,13561,2,1223.88
503,28021,3,1589.39
504,9475,3,220.67
505,627,4,456.02
506,28211,3,2724.64
507,7482,2,2462.11
508,7001,4,1516.16
509,29116,4,205.84
510,22805,2,379.99
511,9085,1,381.29
512,27523,3,1529.88
513,9701,2,889.24
514,17558,2,1285.96
515,1996,4,1779.42
516,3665,1,1794.75
517,20851,4,1032.09
518,22272,2,2736.5
519,4060,2,1985.67
520,8950,4,396.15
521,8531,4,202.4
522,15888,1,1751.66
523,3959,1,221.85
524,17118,4,1635.77
525,12365,1,2592.99
526,16032,4,1937.22
527,1516,4,2188.62
528,15910,3,794.41
529,5433,4,1039.87
530,6329,2,2958.76
531,26255,3,1380.38
532,14739,2,2434.48
533,22587,3,936.69
534,20346,3,926.68
535,4818,3,1106.53
536,26108,2,652.23
537,4996,4,421.95
538,25728,3,2644.28
539,795,2,2994.91
540,18682,1,1412.39
541,24693,2,2235.3
542,21218,3,2840.65
543,17713,4,1416.44
544,22895,4,1656.47
545,19177,3,2853.14
546,28291,3,1970.18
547,26134,3,2517.46
548,26854,3,924.52
549,25596,2,2929.24
550,6408,1,2515.75
551,24406,3,1997.55
552,12595,4,1032.74
553,23324,3,898.59
554,24341,1,1838.69
555,10934,2,528.95
556,23311,4,232.29
557,24816,1,2084.3
558,7357,3,2361.44
559,6809,2,1450.0
560,29258,1,561.1
561,9024,3,1464.78
562,21640,3,699.33
563,11472,4,813.86
564,8987,4,777.82
565,23771,2,1252.59
566,3441,4,296.41
567,3190,1,2902.57
568,12671,4,2576.68
569,27153,1,2412.87
570,823,2,2655.94
571,23590,2,2307.07
572,10466,3,649.23
573,4662,1,1340.64
574,7601,3,1847.73
575,14682,1,1047.4
576,21971,2,2993.92
577,7226,4,2970.61
578,29887,3,2679.84
579,7117,3,1033.88
580,6015,1,2605.25
581,25261,4,712.12
582,26262,2,2935.11
583,21340,2,1266.97
584,27066,4,2666.85
585,3469,2,222.2
586,14215,4,385.84
