SaleID,DateKey,OrderKey,ProductKey,StoreKey,EmployeeKey,Quantity,SalesAmount
1,20250103,21007,282,9,23,1,641.7
2,20250519,23934,162,9,26,3,1183.4
3,20250623,22773,278,6,8,1,2825.45
4,20250128,20013,288,6,42,5,2230.41
5,20250506,22130,130,7,32,4,1075.67
6,20250425,24354,281,2,28,4,4941.36
7,20250612,22423,199,4,49,3,3041.21
8,20250301,22461,228,4,29,3,3327.26
9,20250228,21628,246,10,37,2,935.16
10,20250627,23526,88,3,33,1,5966.07
11,20250330,20005,93,10,14,4,1864.77
12,20250613,24086,126,5,19,3,1358.19
13,20250212,20945,149,1,1,3,3615.66
14,20250203,23414,14,1,40,4,3262.49
15,20250602,20623,139,10,23,5,968.72
16,20250415,23094,9,8,37,5,1011.61
17,20250605,24561,48,6,29,3,2367.62
18,20250301,23186,224,8,24,2,1958.57
19,20250516,24319,180,10,34,4,994.2
20,20250602,25596,178,5,42,3,2166.11
21,20250129,25176,275,8,17,3,409.64
22,20250603,23198,34,5,28,2,3386.86
23,20250328,23924,129,10,31,4,776.24
24,20250423,25245,81,8,6,2,699.8
25,20250512,23729,228,4,24,4,2170.49
26,20250608,20667,281,2,49,5,5927.25
27,20250406,24037,276,9,15,2,1044.33
28,20250111,25237,15,3,4,3,6069.88
29,20250315,22873,59,10,29,2,222.13
30,20250404,22330,17,7,21,5,779.75
31,20250312,22482,95,2,19,4,4858.26
32,20250501,20845,69,3,13,5,6298.64
33,20250115,23330,173,4,16,2,1466.8
34,20250219,25847,189,6,40,4,3168.66
35,20250530,25494,278,6,2,5,3318.3
36,20250210,24127,96,7,47,1,1995.56
37,20250101,24304,251,10,36,4,926.01
38,20250510,25339,283,6,10,4,2508.81
39,20250419,22028,25,4,38,4,2055.69
40,20250614,24223,127,8,28,4,595.09
41,20250508,25385,292,7,32,5,249.01
42,20250103,20453,150,6,18,3,3310.82
43,20250205,24921,205,1,11,5,4218.45
44,20250105,23617,119,1,46,2,5431.34
45,20250207,23676,265,3,11,3,4023.81
46,20250105,22725,156,5,43,1,1841.69
47,20250131,20555,235,6,29,3,1948.46
48,20250424,21349,143,4,41,3,2376.94
49,20250601,24531,236,9,43,1,363.01
50,20250319,20059,254,9,22,3,1408.26
51,20250101,22987,101,4,48,4,2664.84
52,20250503,21163,224,6,34,2,2470.19
53,20250109,23715,13,10,23,1,1902.0
54,20250415,24965,213,4,29,2,3100.55
55,20250517,20875,163,2,25,5,5897.41
56,20250108,21501,248,4,34,3,2292.53
57,20250523,21275,58,4,19,5,2014.45
58,20250227,23876,53,3,31,2,3550.9
59,20250420,25641,99,1,37,1,6353.98
60,20250225,20274,209,9,36,3,869.56
61,20250419,24227,64,9,28,4,567.54
62,20250412,23487,173,3,43,4,2994.76
63,20250502,23939,191,1,23,5,6671.54
64,20250304,22680,149,6,7,1,2012.04
65,20250613,25482,227,6,31,2,3347.29
66,20250317,20321,92,6,22,5,3438.5
67,20250521,20530,14,10,41,5,1527.3
68,20250516,23667,78,6,14,3,2976.0
69,20250403,23872,77,8,3,5,1106.93
70,20250130,20135,147,1,6,3,2764.58
71,20250319,24751,126,1,8,4,5946.05
72,20250621,20974,220,7,50,1,224.8
73,20250404,25159,196,2,28,1,3716.38
74,20250105,25773,142,4,29,3,2549.34
75,20250321,22751,283,1,20,1,2210.46
76,20250203,25130,245,9,2,4,1256.89
77,20250110,25332,197,10,20,5,1321.35
78,20250327,23581,179,5,48,5,2484.3
79,20250227,25370,202,1,14,5,6601.57
80,20250505,21148,85,4,20,3,1889.31
81,20250125,23970,20,6,34,2,2882.28
82,20250317,25267,95,4,17,3,1743.59
83,20250415,23289,127,10,43,5,1335.21
84,20250109,22129,183,1,14,5,5852.07
85,20250629,25934,282,9,49,5,232.72
86,20250212,22591,54,7,20,1,1092.47
87,20250423,20418,290,10,38,5,877.66
88,20250508,20114,257,8,8,4,579.36
89,20250524,20841,115,7,2,2,1926.64
90,20250604,20890,93,9,36,1,729.3
91,20250408,22068,167,6,17,4,947.55
92,20250405,23598,119,7,8,2,1991.59
93,20250128,21043,226,6,26,5,1391.4
94,20250214,21326,300,9,23,4,1014.37
95,20250506,22295,187,10,3,5,1895.27
96,20250615,24142,232,1,8,4,5154.35
97,20250123,22760,254,4,7,4,2560.48
98,20250214,23135,43,1,17,3,6469.03
99,20250417,22728,19,8,17,3,357.61
100,20250421,22141,146,2,23,5,3849.9
101,20250417,24883,147,3,47,3,4997.98
102,20250622,24697,59,5,15,4,1033.04
103,20250602,24146,249,9,28,2,280.17
104,20250521,21576,228,1,16,5,5014.7
105,20250212,22560,89,7,31,4,1875.63
106,20250505,22305,62,1,20,4,5525.17
107,20250311,20028,88,5,28,1,3081.12
108,20250314,21270,167,4,23,3,1751.22
109,20250220,21175,221,7,47,2,355.36
110,20250307,21007,185,2,23,1,3039.11
111,20250401,22238,68,1,41,3,4878.2
