SaleID,DateKey,OrderKey,ProductKey,StoreKey,EmployeeKey,Quantity,SalesAmount
2309,20250319,20354,173,9,16,4,1974.37
22405,20250203,20769,166,1,7,2,2673.99
23398,20250406,23614,188,7,5,2,1216.34
25059,20250420,24184,111,5,45,5,2121.9
2665,20250416,20700,185,9,37,5,253.72
8512,20250508,25579,101,5,28,4,3821.57
5149,20250125,21766,115,9,46,1,496.3
7791,20250419,23396,152,2,45,2,2987.35
11312,20250501,20943,136,7,35,5,1885.7
19044,20250129,21581,192,8,49,2,563.58
10785,20250411,22891,185,3,30,3,4669.69
22247,20250327,20890,185,8,26,2,1274.6
3269,20250203,20993,117,7,33,2,1344.9
15948,20250219,23324,115,2,42,1,2813.27
14978,20250208,24651,175,4,3,2,2164.36
14475,20250518,21472,145,1,46,4,5885.9
28695,20250625,25968,114,5,40,5,2090.88
14055,20250329,22512,146,6,40,3,1821.06
26546,20250203,23690,108,2,7,5,3487.21
14981,20250128,22715,169,1,24,2,5908.88
17637,20250511,24071,126,10,17,3,856.94
3932,20250102,24584,154,1,5,5,2034.06
8388,20250601,23295,196,3,3,1,4279.06
8029,20250404,25966,173,5,49,2,882.77
9483,20250126,20326,109,5,28,1,1516.21
22573,20250114,22546,130,10,27,1,1710.31
15108,20250321,23278,178,9,46,1,590.38
3674,20250319,24973,164,3,24,4,7328.68
21389,20250427,21866,163,6,34,5,2114.92
5938,20250628,23882,132,1,9,3,7644.27
27034,20250529,23110,193,3,12,3,7742.85
29272,20250507,23086,127,2,18,5,6218.14
21881,20250415,23906,181,4,4,1,3944.02
6509,20250320,20004,154,5,26,5,3776.75
21458,20250302,23702,132,6,10,4,1677.15
20072,20250624,25636,123,9,39,3,234.12
27013,20250327,22504,132,3,35,3,7569.45
10093,20250421,22185,178,9,43,1,1119.6
22568,20250508,24310,135,8,12,3,783.9
12977,20250322,23283,161,4,24,3,800.32
3814,20250507,25381,124,1,2,1,7880.31
7338,20250509,21970,154,8,50,1,509.57
24484,20250612,24580,107,9,17,4,274.37
19593,20250112,22361,180,5,47,5,1620.88
5122,20250219,20174,181,7,22,1,648.53
14906,20250511,20348,194,7,26,1,1646.45
8224,20250419,23084,129,10,38,1,1509.45
2869,20250508,23808,105,6,40,5,923.82
2343,20250209,25821,133,2,48,3,5960.9
8833,20250629,20035,180,8,19,1,650.4
7933,20250317,23186,110,9,4,4,1954.43
16558,20250120,25025,172,6,9,2,3597.53
20605,20250510,20409,184,10,2,3,1051.89
12984,20250306,25299,107,9,24,2,1437.92
3015,20250619,23173,125,8,50,1,1742.16
27332,20250106,24330,189,8,4,3,1387.35
12125,20250324,25701,181,9,48,1,1325.21
3753,20250319,24281,162,7,2,5,1150.88
27388,20250331,25877,158,10,46,2,1804.16
12336,20250430,20401,195,1,20,4,5661.09
11545,20250129,20786,163,1,39,4,7232.79
11357,20250318,21531,145,8,46,1,1446.57
2677,20250423,22735,151,7,45,3,516.9
28739,20250311,23686,159,8,37,3,1453.92
29996,20250427,23013,103,2,12,2,5180.66
20748,20250414,21012,173,1,26,3,5540.37
13376,20250429,23466,173,9,15,3,404.45
17987,20250101,24102,101,1,17,1,7944.62
7886,20250115,23642,137,2,49,5,2010.22
13333,20250619,25310,180,7,20,1,823.57
9586,20250514,23420,189,4,33,2,3963.04
6333,20250113,21519,141,6,26,2,2593.22
24430,20250317,21124,142,10,26,1,272.26
