ProductKey	StoreKey	StockQty	ReorderLevel
101	1	108	45
102	2	21	60
103	3	137	54
104	4	157	29
105	1	71	25
106	2	79	25
107	3	130	33
108	4	249	29
109	1	137	40
110	2	100	57
111	3	162	24
112	4	79	47
113	1	186	35
114	2	14	35
115	3	22	47
116	4	29	49
117	1	156	58
118	2	14	39
119	3	170	31
120	4	30	20
121	1	181	28
122	2	179	20
123	3	41	51
124	4	243	42
125	1	133	53
126	2	200	36
127	3	42	43
128	4	32	37
129	1	187	27
130	2	197	21
131	3	85	47
132	4	69	53
133	1	16	36
134	2	182	56
135	3	160	24
136	4	127	49
137	1	130	43
138	2	14	51
139	3	219	56
140	4	42	43
141	1	40	36
142	2	197	26
143	3	228	56
144	4	172	27
145	1	58	52
146	2	0	22
147	3	219	20
148	4	62	22
149	1	120	43
150	2	98	29
151	3	45	22
152	4	141	46
153	1	57	40
154	2	63	46
155	3	234	40
156	4	69	24
157	1	146	43
158	2	30	52
159	3	172	23
160	4	45	34
161	1	205	53
162	2	11	45
163	3	17	49
164	4	221	38
165	1	198	39
166	2	83	25
167	3	141	49
168	4	2	43
169	1	51	38
170	2	144	39
171	3	189	59
172	4	62	49
173	1	94	57
174	2	248	51
175	3	197	32
176	4	187	54
177	1	194	35
178	2	38	20
179	3	238	46
180	4	6	34
181	1	138	42
182	2	162	20
183	3	243	41
184	4	0	44
185	1	217	39
186	2	26	33
187	3	135	35
188	4	107	51
189	1	246	23
190	2	248	29
191	3	182	37
192	4	23	22
193	1	235	34
194	2	229	53
195	3	105	43
196	4	117	25
197	1	148	26
198	2	129	28
199	3	163	45
200	4	19	57
101	1	145	23
102	2	111	28
103	3	60	38
104	4	66	40
105	1	237	45
106	2	179	40
107	3	81	48
108	4	69	34
109	1	19	32
110	2	34	57
111	3	27	29
112	4	27	30
113	1	115	49
114	2	80	46
115	3	30	54
116	4	91	33
117	1	115	39
118	2	118	36
119	3	218	27
120	4	23	30
121	1	206	39
122	2	211	58
123	3	10	33
124	4	213	40
125	1	37	25
126	2	182	35
127	3	247	42
128	4	101	52
129	1	12	39
130	2	66	31
131	3	7	45
132	4	218	48
133	1	142	55
134	2	63	26
135	3	118	26
136	4	205	28
137	1	31	20
138	2	15	34
139	3	33	32
140	4	210	45
141	1	95	60
142	2	240	25
143	3	149	57
144	4	66	24
145	1	5	24
146	2	50	48
147	3	207	28
148	4	23	41
149	1	31	22
150	2	241	49
151	3	12	30
152	4	236	56
153	1	110	45
154	2	127	21
155	3	97	47
156	4	44	42
157	1	54	31
158	2	70	37
159	3	114	29
160	4	8	59
161	1	158	59
162	2	62	38
163	3	127	46
164	4	225	55
165	1	122	23
166	2	22	37
167	3	98	28
168	4	107	32
169	1	164	53
170	2	63	60
171	3	205	54
172	4	203	21
173	1	97	42
174	2	122	54
175	3	200	51
176	4	88	56
177	1	128	40
178	2	99	37
