OrderKey,SessionID,DeviceType,CartAbandonFlag
2001,sess_56105,Tablet,0
2002,sess_49139,Mobile,0
2003,sess_61116,Tablet,0
2004,sess_64921,Tablet,1
2005,sess_80545,Mobile,0
2006,sess_81582,Mobile,0
2007,sess_89069,Tablet,1
2008,sess_38906,Desktop,0
2009,sess_73993,Tablet,1
2010,sess_38760,Tablet,0
2011,sess_45774,Tablet,0
2012,sess_67125,Tablet,0
2013,sess_73654,Mobile,0
2014,sess_13804,Tablet,1
2015,sess_60968,Desktop,0
2016,sess_54057,Mobile,0
2017,sess_97670,Desktop,0
2018,sess_99016,Desktop,0
2019,sess_62994,Desktop,1
2020,sess_31632,Desktop,0
2021,sess_71261,Mobile,0
2022,sess_26728,Mobile,1
2023,sess_91560,Desktop,0
2024,sess_80008,Desktop,1
2025,sess_13534,Mobile,0
2026,sess_61645,Mobile,0
2027,sess_87580,Mobile,0
2028,sess_83975,Tablet,0
2029,sess_96900,Tablet,1
2030,sess_13552,Tablet,0
2031,sess_21003,Desktop,0
2032,sess_94246,Tablet,0
2033,sess_66179,Desktop,0
2034,sess_27786,Desktop,0
2035,sess_70515,Tablet,1
2036,sess_33819,Desktop,0
2037,sess_16590,Tablet,0
2038,sess_44099,Tablet,0
2039,sess_59689,Mobile,0
2040,sess_52906,Tablet,0
2041,sess_37742,Mobile,0
2042,sess_69598,Tablet,1
2043,sess_52840,Tablet,0
2044,sess_54236,Mobile,0
2045,sess_59692,Mobile,0
2046,sess_46471,Tablet,1
2047,sess_65255,Desktop,0
2048,sess_43065,Mobile,0
2049,sess_20735,Desktop,0
2050,sess_71644,Desktop,0
2051,sess_12540,Desktop,0
2052,sess_80702,Mobile,0
2053,sess_16826,Desktop,0
2054,sess_55870,Mobile,0
2055,sess_39389,Desktop,1
2056,sess_95215,Tablet,1
2057,sess_18993,Tablet,0
2058,sess_95426,Mobile,0
2059,sess_15276,Tablet,0
2060,sess_14067,Tablet,0
2061,sess_42411,Desktop,0
2062,sess_36130,Mobile,0
2063,sess_12671,Desktop,0
2064,sess_91439,Desktop,1
2065,sess_29973,Desktop,0
2066,sess_41266,Desktop,0
2067,sess_26544,Desktop,1
2068,sess_72070,Desktop,0
2069,sess_97747,Desktop,0
2070,sess_24993,Mobile,0
2071,sess_83920,Tablet,0
2072,sess_38569,Desktop,1
2073,sess_70952,Desktop,0
2074,sess_43586,Desktop,0
2075,sess_58351,Desktop,1
2076,sess_31992,Desktop,1
2077,sess_89415,Desktop,1
2078,sess_89593,Tablet,0
2079,sess_25012,Tablet,0
2080,sess_31465,Desktop,1
2081,sess_50768,Tablet,1
2082,sess_24168,Mobile,0
2083,sess_85849,Desktop,0
2084,sess_13365,Mobile,0
2085,sess_50888,Mobile,1
2086,sess_85470,Desktop,0
2087,sess_98781,Tablet,0
2088,sess_59192,Mobile,0
2089,sess_61990,Desktop,0
2090,sess_35995,Mobile,1
2091,sess_19961,Mobile,0
2092,sess_87607,Mobile,1
2093,sess_92213,Mobile,1
2094,sess_41830,Tablet,0
2095,sess_23356,Mobile,0
2096,sess_49529,Mobile,0
2097,sess_99687,Mobile,1
2098,sess_88697,Tablet,0
2099,sess_25866,Mobile,0
2100,sess_84177,Mobile,1
2101,sess_15383,Tablet,0
2102,sess_55508,Tablet,1
2103,sess_79827,Tablet,0
2104,sess_66148,Mobile,0
2105,sess_96706,Tablet,0
2106,sess_58571,Tablet,1
2107,sess_19038,Mobile,0
2108,sess_76317,Tablet,1
2109,sess_94874,Mobile,1
2110,sess_54725,Desktop,0
2111,sess_11658,Tablet,1
2112,sess_65057,Desktop,0
2113,sess_74251,Mobile,0
2114,sess_23833,Tablet,0
2115,sess_66822,Mobile,1
2116,sess_57472,Desktop,0
2117,sess_93307,Mobile,0
2118,sess_70258,Tablet,0
2119,sess_30052,Tablet,0
2120,sess_67080,Desktop,0
2121,sess_33086,Mobile,1
2122,sess_78386,Tablet,1
2123,sess_95256,Desktop,0
2124,sess_45400,Tablet,1
2125,sess_90728,Tablet,0
2126,sess_80539,Mobile,1
2127,sess_73372,Tablet,0
2128,sess_70931,Mobile,0
2129,sess_67091,Tablet,0
2130,sess_87656,Desktop,1
2131,sess_45179,Tablet,0
2132,sess_52245,Mobile,0
2133,sess_42177,Mobile,0
2134,sess_21359,Desktop,0
2135,sess_46559,Tablet,0
2136,sess_69087,Tablet,0
2137,sess_41963,Desktop,1
2138,sess_70910,Tablet,0
2139,sess_84691,Tablet,0
2140,sess_89997,Mobile,0
2141,sess_97580,Tablet,1
2142,sess_59674,Tablet,1
2143,sess_54092,Desktop,0
2144,sess_13761,Desktop,0
2145,sess_74789,Mobile,0
2146,sess_52600,Tablet,0
2147,sess_33834,Tablet,1
2148,sess_73904,Tablet,0
2149,sess_37802,Mobile,0
2150,sess_56507,Mobile,0
2151,sess_43862,Desktop,1
2152,sess_54608,Mobile,0
2153,sess_46655,Tablet,0
2154,sess_88139,Tablet,0
2155,sess_46211,Mobile,1
2156,sess_82848,Tablet,0
2157,sess_11330,Tablet,0
2158,sess_77715,Mobile,0
2159,sess_35042,Mobile,0
2160,sess_21221,Tablet,0
2161,sess_41635,Tablet,0
2162,sess_63271,Tablet,0
2163,sess_74038,Desktop,0
2164,sess_82768,Desktop,0
2165,sess_41499,Desktop,1
2166,sess_72402,Mobile,0
2167,sess_94659,Desktop,1
2168,sess_74332,Mobile,0
2169,sess_68743,Mobile,0
2170,sess_12260,Desktop,0
2171,sess_22196,Desktop,0
2172,sess_48566,Desktop,0
2173,sess_39045,Tablet,0
2174,sess_63005,Desktop,0
2175,sess_41890,Tablet,1
2176,sess_50135,Mobile,0
2177,sess_97026,Tablet,1
2178,sess_86225,Desktop,0
2179,sess_58368,Mobile,0
2180,sess_72031,Mobile,0
2181,sess_82544,Mobile,0
2182,sess_79588,Tablet,0
2183,sess_55056,Desktop,0
2184,sess_65771,Mobile,0
2185,sess_82140,Mobile,0
2186,sess_53357,Mobile,0
2187,sess_56112,Tablet,1
2188,sess_69473,Tablet,1
2189,sess_45509,Desktop,1
2190,sess_50189,Tablet,1
2191,sess_42951,Mobile,0
2192,sess_40217,Desktop,0
2193,sess_25814,Mobile,1
2194,sess_35242,Mobile,0
2195,sess_51359,Tablet,0
2196,sess_25670,Desktop,0
2197,sess_80236,Tablet,0
2198,sess_34267,Tablet,0
2199,sess_35105,Desktop,1
2200,sess_38361,Mobile,0
2201,sess_73464,Mobile,0
2202,sess_46241,Desktop,1
2203,sess_87278,Mobile,0
2204,sess_78765,Desktop,0
2205,sess_88222,Desktop,0
2206,sess_47093,Tablet,0
2207,sess_23176,Desktop,1
2208,sess_35443,Tablet,0
2209,sess_48829,Mobile,1
2210,sess_39816,Mobile,0
2211,sess_57301,Mobile,1
2212,sess_33519,Mobile,1
2213,sess_49618,Tablet,1
2214,sess_11854,Mobile,0
2215,sess_80010,Desktop,1
2216,sess_26591,Desktop,0
2217,sess_45954,Desktop,0
2218,sess_15965,Tablet,1
2219,sess_17146,Mobile,0
2220,sess_82529,Mobile,1
2221,sess_48290,Mobile,0
2222,sess_26551,Tablet,0
2223,sess_93606,Desktop,0
2224,sess_74340,Desktop,0
2225,sess_23446,Mobile,0
2226,sess_11607,Desktop,0
2227,sess_85243,Desktop,0
2228,sess_47268,Tablet,0
2229,sess_71524,Tablet,0
2230,sess_72746,Tablet,0
2231,sess_67733,Tablet,0
2232,sess_54657,Mobile,0
2233,sess_34164,Tablet,0
2234,sess_16734,Desktop,1
2235,sess_43092,Mobile,1
2236,sess_72616,Desktop,0
2237,sess_24953,Desktop,0
2238,sess_18564,Desktop,1
2239,sess_62521,Tablet,0
2240,sess_74454,Tablet,0
2241,sess_19710,Mobile,0
2242,sess_85631,Mobile,1
2243,sess_92502,Tablet,0
2244,sess_99974,Desktop,0
2245,sess_17026,Mobile,1
2246,sess_29887,Tablet,1
2247,sess_29555,Tablet,0
2248,sess_83772,Tablet,0
2249,sess_49824,Desktop,1
2250,sess_21164,Tablet,0
2251,sess_42530,Tablet,0
2252,sess_25525,Tablet,0
2253,sess_83147,Tablet,1
2254,sess_64548,Mobile,0
2255,sess_89471,Mobile,1
2256,sess_88135,Tablet,1
2257,sess_91057,Desktop,0
2258,sess_39581,Mobile,0
2259,sess_78494,Tablet,0
2260,sess_59856,Mobile,0
2261,sess_69049,Mobile,0
2262,sess_68028,Desktop,1
2263,sess_48974,Tablet,0
2264,sess_87139,Tablet,1
2265,sess_66207,Desktop,0
2266,sess_50026,Desktop,0
2267,sess_84531,Tablet,0
2268,sess_91399,Tablet,0
2269,sess_17894,Desktop,0
2270,sess_89905,Mobile,0
2271,sess_23006,Mobile,0
2272,sess_37235,Desktop,0
2273,sess_91987,Mobile,0
2274,sess_37659,Desktop,0
2275,sess_44687,Mobile,0
2276,sess_96563,Mobile,1
2277,sess_20641,Tablet,0
2278,sess_30585,Tablet,0
2279,sess_41439,Mobile,0
2280,sess_32782,Mobile,0
2281,sess_82350,Tablet,0
2282,sess_19838,Tablet,0
2283,sess_30517,Tablet,0
2284,sess_10350,Desktop,0
2285,sess_63545,Mobile,0
2286,sess_69048,Tablet,0
2287,sess_87832,Mobile,0
2288,sess_71592,Desktop,1
2289,sess_48175,Desktop,0
2290,sess_14278,Tablet,0
2291,sess_40340,Desktop,0
2292,sess_47762,Mobile,0
2293,sess_47056,Tablet,0
2294,sess_69510,Mobile,0
2295,sess_19329,Mobile,0
2296,sess_40595,Desktop,0
2297,sess_44675,Desktop,0
2298,sess_91927,Desktop,0
2299,sess_87304,Desktop,0
2300,sess_96662,Desktop,0
2301,sess_35928,Tablet,0
2302,sess_65723,Mobile,1
2303,sess_25043,Mobile,0
2304,sess_81376,Mobile,0
2305,sess_39466,Mobile,0
2306,sess_94886,Desktop,1
2307,sess_29528,Mobile,0
2308,sess_44816,Tablet,0
2309,sess_28643,Tablet,0
2310,sess_19359,Mobile,0
2311,sess_17816,Mobile,0
2312,sess_31747,Tablet,0
2313,sess_50319,Tablet,1
2314,sess_87993,Desktop,0
2315,sess_84607,Tablet,0
2316,sess_47828,Desktop,1
2317,sess_67560,Desktop,0
2318,sess_26299,Desktop,0
2319,sess_71433,Desktop,0
2320,sess_49857,Desktop,0
2321,sess_62757,Mobile,0
2322,sess_45683,Tablet,1
2323,sess_75597,Desktop,0
2324,sess_80776,Tablet,0
2325,sess_74722,Tablet,0
2326,sess_67377,Desktop,1
2327,sess_20543,Mobile,1
2328,sess_88385,Desktop,1
2329,sess_15224,Mobile,0
2330,sess_66626,Tablet,0
2331,sess_52247,Mobile,0
2332,sess_89129,Mobile,0
2333,sess_42816,Mobile,0
2334,sess_13390,Tablet,0
2335,sess_21970,Tablet,0
2336,sess_40005,Mobile,0
2337,sess_98381,Mobile,0
2338,sess_85392,Desktop,0
2339,sess_86955,Mobile,0
2340,sess_12719,Desktop,0
2341,sess_98117,Mobile,0
2342,sess_45325,Desktop,1
