SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,StoreKey,BranchKey,PromotionKey,ChannelKey,OrderKey,Quantity,UnitPrice,Discount,TotalAmount,IsReturn
1,20260201,104,5356,7,2,1,4,1,,1,1495.48,275.41,3670.85,0
2,20260202,136,5755,15,4,1,11,1,,1,980.65,146.64,2507.47,0
3,20260203,161,6202,18,3,2,3,1,,3,2197.51,206.66,1782.81,0
4,20260204,150,5102,6,2,1,11,1,,2,2026.47,80.73,2342.78,0
5,20260205,103,6398,1,4,1,11,1,,2,1842.74,2.54,1635.76,0
6,20260206,140,6460,23,3,2,7,1,,3,1501.6,65.46,1859.65,0
7,20260207,167,6278,13,1,1,9,1,,6,2719.57,251.81,3026.56,0
8,20260208,177,6248,10,3,1,8,1,,1,1207.08,82.94,1963.12,0
9,20260209,136,5535,21,3,1,3,1,,5,2237.14,269.91,4124.43,0
10,20260210,177,5828,22,3,1,12,1,,1,1972.96,299.24,1667.42,0
11,20260211,154,5829,13,1,1,6,1,,6,2112.09,205.9,3372.41,0
12,20260212,161,6376,12,3,1,11,1,,5,834.73,29.28,1075.75,0
13,20260213,134,6486,18,2,2,11,1,,1,933.41,67.0,4421.45,0
14,20260214,154,5679,12,3,2,8,1,,1,1529.29,259.92,3126.09,0
15,20260215,180,5146,16,2,1,11,1,,4,1671.61,123.93,4418.82,0
16,20260216,120,5282,7,3,2,10,1,,4,743.74,258.72,1311.61,0
17,20260217,111,5999,11,2,2,11,1,,1,411.31,82.06,3925.37,0
18,20260218,122,6181,6,4,1,3,1,,5,1440.91,128.82,2430.61,0
19,20260219,162,5786,1,1,1,12,1,,3,2680.16,267.6,3905.81,0
20,20260220,168,5391,1,1,1,4,1,,6,2504.76,93.63,962.19,0
21,20260221,165,6206,10,2,1,1,1,,3,2676.31,136.78,2841.3,0
22,20260222,168,5692,14,2,2,8,1,,3,2200.28,49.47,4581.02,0
23,20260223,152,5040,8,2,1,4,1,,6,452.59,151.39,1054.23,0
24,20260224,192,6333,2,4,2,9,1,,5,516.61,298.4,3478.86,0
25,20260225,184,5041,2,1,2,8,1,,4,696.63,75.82,3658.41,0
26,20260226,127,6424,22,1,2,7,1,,6,642.35,156.09,3302.59,0
27,20260227,190,5281,14,1,1,5,1,,1,2283.42,149.32,3240.51,0
28,20260228,200,5539,17,2,2,12,1,,4,1108.84,11.82,2733.6,0
29,20260301,127,6410,16,3,1,1,1,,1,2011.92,272.06,4258.54,0
30,20260302,186,6012,5,1,1,12,1,,6,643.1,76.77,1540.22,0
31,20260303,138,5541,15,1,1,3,1,,1,2445.4,108.06,3545.45,0
32,20260304,155,5238,4,1,1,3,1,,6,1953.28,98.6,4525.37,0
33,20260305,180,5550,24,1,2,6,1,,2,673.2,120.08,2554.42,0
34,20260306,150,6413,16,4,1,2,1,,2,2070.81,17.59,4741.1,0
35,20260307,121,5213,14,4,2,3,1,,5,1311.4,107.58,629.67,0
36,20260308,188,6490,5,4,2,2,1,,4,1457.65,19.0,3447.38,0
37,20260309,102,6443,22,2,2,9,1,,5,2051.78,185.47,2447.82,0
38,20260310,194,5510,16,3,2,3,1,,5,2540.95,183.87,552.4,0
39,20260311,121,6036,16,4,1,2,1,,4,1169.52,99.27,1751.71,0
40,20260312,165,5457,18,4,2,4,1,,1,1501.83,240.38,2516.44,0
41,20260313,164,5916,11,1,2,12,1,,6,442.65,121.03,661.24,0
42,20260314,171,5001,3,3,1,11,1,,6,1494.9,102.26,4213.9,0
43,20260315,129,5931,11,4,2,12,1,,4,673.66,227.8,1497.86,0
44,20260316,144,5728,21,3,2,12,1,,1,509.87,49.25,1132.02,0
45,20260317,192,6478,14,1,2,10,1,,2,850.1,279.06,2268.03,0
46,20260318,159,5391,23,3,1,7,1,,1,2623.9,251.24,3149.65,0
