SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,StoreKey,BranchKey,PromotionKey,ChannelKey,OrderKey,Quantity,UnitPrice,Discount,TotalAmount,IsReturn
12001,20260201,151,5829,,,2,2,2,2001,3,2762.59,179.86,2263.12,0
12002,20260202,178,5904,,,2,9,2,2002,3,1194.62,85.32,3055.14,0
12003,20260203,116,5272,,,2,2,2,2003,6,1503.19,2.88,2673.06,0
12004,20260204,111,6011,,,2,4,2,2004,3,2786.79,117.33,4454.25,0
12005,20260205,102,6236,,,1,1,2,2005,2,2239.72,115.59,3907.86,0
12006,20260206,105,5191,,,1,10,2,2006,6,1757.19,97.07,1920.62,0
12007,20260207,187,6229,,,2,10,2,2007,6,1402.19,65.8,3436.46,0
12008,20260208,146,5386,,,2,11,2,2008,2,628.61,136.35,4551.53,0
12009,20260209,103,5063,,,1,9,2,2009,6,1379.81,64.37,553.45,0
12010,20260210,101,5420,,,2,11,2,2010,4,1008.92,80.85,2786.7,0
12011,20260211,110,5284,,,1,8,2,2011,6,1814.47,139.18,4293.56,0
12012,20260212,199,6442,,,1,1,2,2012,1,1563.0,12.55,4697.97,0
12013,20260213,177,6322,,,1,5,2,2013,3,2139.89,82.41,4202.96,0
12014,20260214,141,5345,,,1,3,2,2014,1,1693.69,10.35,3556.2,0
12015,20260215,156,5245,,,1,4,2,2015,2,970.37,115.07,4055.11,0
12016,20260216,156,5160,,,1,5,2,2016,1,2601.57,224.56,2927.88,0
12017,20260217,114,5704,,,1,4,2,2017,5,2081.68,59.45,851.01,0
12018,20260218,155,6109,,,2,12,2,2018,4,1053.05,261.99,1331.1,0
12019,20260219,142,6188,,,1,6,2,2019,4,2300.64,87.89,2447.07,0
12020,20260220,185,5646,,,1,6,2,2020,4,558.37,89.55,4342.86,0
12021,20260221,134,6056,,,1,3,2,2021,2,1915.52,98.95,4085.79,0
12022,20260222,130,6046,,,1,1,2,2022,4,1882.7,123.11,2326.2,0
12023,20260223,186,5028,,,2,1,2,2023,3,2301.03,136.19,3901.48,0
12024,20260224,168,5865,,,2,9,2,2024,5,2618.42,270.25,3339.6,0
12025,20260225,145,6047,,,2,2,2,2025,4,2179.4,237.24,3921.92,0
12026,20260226,142,5274,,,1,3,2,2026,2,1325.16,30.56,951.79,0
12027,20260227,123,5296,,,2,7,2,2027,5,2424.55,161.05,4084.92,0
12028,20260228,134,5397,,,1,11,2,2028,2,2517.05,145.56,1077.15,0
12029,20260301,161,6371,,,1,3,2,2029,4,975.45,116.73,2591.65,0
12030,20260302,121,5308,,,1,6,2,2030,2,2459.57,224.27,3216.38,0
12031,20260303,183,6392,,,1,9,2,2031,6,1680.16,86.42,1945.72,0
12032,20260304,125,6117,,,2,7,2,2032,1,2384.64,42.04,4400.24,0
12033,20260305,175,5221,,,2,9,2,2033,5,515.97,230.81,4889.23,0
12034,20260306,120,6386,,,1,12,2,2034,5,2423.04,55.41,3130.71,0
12035,20260307,150,6176,,,2,12,2,2035,3,1661.15,210.38,1417.59,0
12036,20260308,135,5465,,,1,12,2,2036,4,2451.77,147.7,2290.37,0
12037,20260309,162,5436,,,1,11,2,2037,2,808.12,68.66,884.98,0
12038,20260310,169,6450,,,2,12,2,2038,6,594.44,259.18,2937.38,0
12039,20260311,124,5811,,,1,5,2,2039,6,1671.49,227.2,3669.1,0
12040,20260312,188,5456,,,1,4,2,2040,1,910.79,268.82,4375.26,0
