DateKey,FullDate,Year,Month,Day,DayOfWeek,Weekend,Season
1,01-01-2024,2024,1,1,Monday,No,Winter
2,02-01-2024,2024,1,2,Tuesday,No,Winter
3,03-01-2024,2024,1,3,Wednesday,No,Winter
4,04-01-2024,2024,1,4,Thursday,No,Winter
5,05-01-2024,2024,1,5,Friday,No,Winter
6,06-01-2024,2024,1,6,Saturday,Yes,Winter
7,07-01-2024,2024,1,7,Sunday,Yes,Winter
8,08-01-2024,2024,1,8,Monday,No,Winter
9,09-01-2024,2024,1,9,Tuesday,No,Winter
10,10-01-2024,2024,1,10,Wednesday,No,Winter
11,11-01-2024,2024,1,11,Thursday,No,Winter
12,12-01-2024,2024,1,12,Friday,No,Winter
13,13-01-2024,2024,1,13,Saturday,Yes,Winter
14,14-01-2024,2024,1,14,Sunday,Yes,Winter
15,15-01-2024,2024,1,15,Monday,No,Winter
16,16-01-2024,2024,1,16,Tuesday,No,Winter
17,17-01-2024,2024,1,17,Wednesday,No,Winter
18,18-01-2024,2024,1,18,Thursday,No,Winter
19,19-01-2024,2024,1,19,Friday,No,Winter
20,20-01-2024,2024,1,20,Saturday,Yes,Winter
21,21-01-2024,2024,1,21,Sunday,Yes,Winter
22,22-01-2024,2024,1,22,Monday,No,Winter
23,23-01-2024,2024,1,23,Tuesday,No,Winter
24,24-01-2024,2024,1,24,Wednesday,No,Winter
25,25-01-2024,2024,1,25,Thursday,No,Winter
26,26-01-2024,2024,1,26,Friday,No,Winter
27,27-01-2024,2024,1,27,Saturday,Yes,Winter
28,28-01-2024,2024,1,28,Sunday,Yes,Winter
29,29-01-2024,2024,1,29,Monday,No,Winter
30,30-01-2024,2024,1,30,Tuesday,No,Winter
31,31-01-2024,2024,1,31,Wednesday,No,Winter
32,01-02-2024,2024,2,1,Thursday,No,Winter
33,02-02-2024,2024,2,2,Friday,No,Winter
34,03-02-2024,2024,2,3,Saturday,Yes,Winter
35,04-02-2024,2024,2,4,Sunday,Yes,Winter
36,05-02-2024,2024,2,5,Monday,No,Winter
37,06-02-2024,2024,2,6,Tuesday,No,Winter
38,07-02-2024,2024,2,7,Wednesday,No,Winter
39,08-02-2024,2024,2,8,Thursday,No,Winter
40,09-02-2024,2024,2,9,Friday,No,Winter
41,10-02-2024,2024,2,10,Saturday,Yes,Winter
42,11-02-2024,2024,2,11,Sunday,Yes,Winter
43,12-02-2024,2024,2,12,Monday,No,Winter
44,13-02-2024,2024,2,13,Tuesday,No,Winter
45,14-02-2024,2024,2,14,Wednesday,No,Winter
46,15-02-2024,2024,2,15,Thursday,No,Winter
47,16-02-2024,2024,2,16,Friday,No,Winter
48,17-02-2024,2024,2,17,Saturday,Yes,Winter
49,18-02-2024,2024,2,18,Sunday,Yes,Winter
50,19-02-2024,2024,2,19,Monday,No,Winter
51,20-02-2024,2024,2,20,Tuesday,No,Winter
52,21-02-2024,2024,2,21,Wednesday,No,Winter
53,22-02-2024,2024,2,22,Thursday,No,Winter
54,23-02-2024,2024,2,23,Friday,No,Winter
55,24-02-2024,2024,2,24,Saturday,Yes,Winter
56,25-02-2024,2024,2,25,Sunday,Yes,Winter
57,26-02-2024,2024,2,26,Monday,No,Winter
58,27-02-2024,2024,2,27,Tuesday,No,Winter
59,28-02-2024,2024,2,28,Wednesday,No,Winter
60,29-02-2024,2024,2,29,Thursday,No,Winter
61,01-03-2024,2024,3,1,Friday,No,Summer
62,02-03-2024,2024,3,2,Saturday,Yes,Summer
63,03-03-2024,2024,3,3,Sunday,Yes,Summer
64,04-03-2024,2024,3,4,Monday,No,Summer
65,05-03-2024,2024,3,5,Tuesday,No,Summer
66,06-03-2024,2024,3,6,Wednesday,No,Summer
67,07-03-2024,2024,3,7,Thursday,No,Summer
68,08-03-2024,2024,3,8,Friday,No,Summer
69,09-03-2024,2024,3,9,Saturday,Yes,Summer
70,10-03-2024,2024,3,10,Sunday,Yes,Summer
71,11-03-2024,2024,3,11,Monday,No,Summer
72,12-03-2024,2024,3,12,Tuesday,No,Summer
73,13-03-2024,2024,3,13,Wednesday,No,Summer
74,14-03-2024,2024,3,14,Thursday,No,Summer
75,15-03-2024,2024,3,15,Friday,No,Summer
76,16-03-2024,2024,3,16,Saturday,Yes,Summer
77,17-03-2024,2024,3,17,Sunday,Yes,Summer
78,18-03-2024,2024,3,18,Monday,No,Summer
79,19-03-2024,2024,3,19,Tuesday,No,Summer
80,20-03-2024,2024,3,20,Wednesday,No,Summer
81,21-03-2024,2024,3,21,Thursday,No,Summer
82,22-03-2024,2024,3,22,Friday,No,Summer
83,23-03-2024,2024,3,23,Saturday,Yes,Summer
84,24-03-2024,2024,3,24,Sunday,Yes,Summer
85,25-03-2024,2024,3,25,Monday,No,Summer
86,26-03-2024,2024,3,26,Tuesday,No,Summer
87,27-03-2024,2024,3,27,Wednesday,No,Summer
88,28-03-2024,2024,3,28,Thursday,No,Summer
89,29-03-2024,2024,3,29,Friday,No,Summer
90,30-03-2024,2024,3,30,Saturday,Yes,Summer
91,31-03-2024,2024,3,31,Sunday,Yes,Summer
92,01-04-2024,2024,4,1,Monday,No,Summer
93,02-04-2024,2024,4,2,Tuesday,No,Summer
94,03-04-2024,2024,4,3,Wednesday,No,Summer
95,04-04-2024,2024,4,4,Thursday,No,Summer
96,05-04-2024,2024,4,5,Friday,No,Summer
97,06-04-2024,2024,4,6,Saturday,Yes,Summer
98,07-04-2024,2024,4,7,Sunday,Yes,Summer
99,08-04-2024,2024,4,8,Monday,No,Summer
100,09-04-2024,2024,4,9,Tuesday,No,Summer
101,10-04-2024,2024,4,10,Wednesday,No,Summer
102,11-04-2024,2024,4,11,Thursday,No,Summer
103,12-04-2024,2024,4,12,Friday,No,Summer
104,13-04-2024,2024,4,13,Saturday,Yes,Summer
105,14-04-2024,2024,4,14,Sunday,Yes,Summer
106,15-04-2024,2024,4,15,Monday,No,Summer
107,16-04-2024,2024,4,16,Tuesday,No,Summer
108,17-04-2024,2024,4,17,Wednesday,No,Summer
109,18-04-2024,2024,4,18,Thursday,No,Summer
110,19-04-2024,2024,4,19,Friday,No,Summer
111,20-04-2024,2024,4,20,Saturday,Yes,Summer
112,21-04-2024,2024,4,21,Sunday,Yes,Summer
113,22-04-2024,2024,4,22,Monday,No,Summer
114,23-04-2024,2024,4,23,Tuesday,No,Summer
115,24-04-2024,2024,4,24,Wednesday,No,Summer
116,25-04-2024,2024,4,25,Thursday,No,Summer
117,26-04-2024,2024,4,26,Friday,No,Summer
118,27-04-2024,2024,4,27,Saturday,Yes,Summer
119,28-04-2024,2024,4,28,Sunday,Yes,Summer
120,29-04-2024,2024,4,29,Monday,No,Summer
121,30-04-2024,2024,4,30,Tuesday,No,Summer
122,01-05-2024,2024,5,1,Wednesday,No,Summer
123,02-05-2024,2024,5,2,Thursday,No,Summer
124,03-05-2024,2024,5,3,Friday,No,Summer
125,04-05-2024,2024,5,4,Saturday,Yes,Summer
126,05-05-2024,2024,5,5,Sunday,Yes,Summer
127,06-05-2024,2024,5,6,Monday,No,Summer
128,07-05-2024,2024,5,7,Tuesday,No,Summer
129,08-05-2024,2024,5,8,Wednesday,No,Summer
130,09-05-2024,2024,5,9,Thursday,No,Summer
131,10-05-2024,2024,5,10,Friday,No,Summer
132,11-05-2024,2024,5,11,Saturday,Yes,Summer
133,12-05-2024,2024,5,12,Sunday,Yes,Summer
134,13-05-2024,2024,5,13,Monday,No,Summer
135,14-05-2024,2024,5,14,Tuesday,No,Summer
136,15-05-2024,2024,5,15,Wednesday,No,Summer
137,16-05-2024,2024,5,16,Thursday,No,Summer
138,17-05-2024,2024,5,17,Friday,No,Summer
139,18-05-2024,2024,5,18,Saturday,Yes,Summer
140,19-05-2024,2024,5,19,Sunday,Yes,Summer
141,20-05-2024,2024,5,20,Monday,No,Summer
142,21-05-2024,2024,5,21,Tuesday,No,Summer
143,22-05-2024,2024,5,22,Wednesday,No,Summer
144,23-05-2024,2024,5,23,Thursday,No,Summer
145,24-05-2024,2024,5,24,Friday,No,Summer
146,25-05-2024,2024,5,25,Saturday,Yes,Summer
147,26-05-2024,2024,5,26,Sunday,Yes,Summer
