InventoryKey,ProductKey,StoreKey,StockLevel,ReorderLevel,LastUpdated,SupplierLeadTime
1,1,1,120,94,24-01-2026,8
2,2,1,287,53,26-01-2026,
3,3,1,342,85,16-01-2026,4
4,4,,84,119,28-01-2026,10
5,5,1,187,80,17-01-2026,8
6,6,1,349,,22-01-2026,8
7,7,1,62,110,21-01-2026,5
8,8,1,63,103,,6
9,9,1,,88,28-01-2026,10
10,,1,31,68,25-01-2026,9
11,11,1,114,88,15-01-2026,5
12,12,1,321,,17-01-2026,9
13,13,1,272,94,27-01-2026,5
14,14,,261,62,23-01-2026,5
15,15,1,54,107,16-01-2026,5
16,16,1,234,69,15-01-2026,6
17,17,1,356,110,14-01-2026,5
18,18,1,109,88,15-01-2026,7
19,19,1,283,50,20-01-2026,12
20,20,1,112,52,14-01-2026,9
21,21,1,109,111,14-01-2026,4
22,22,1,134,112,15-01-2026,11
23,23,1,124,74,14-01-2026,10
24,24,1,215,105,17-01-2026,13
25,25,1,333,82,23-01-2026,6
26,26,1,133,87,16-01-2026,4
27,27,1,94,55,16-01-2026,8
28,28,1,395,107,25-01-2026,7
29,29,1,236,93,25-01-2026,13
30,30,1,296,94,18-01-2026,11
31,31,1,268,81,24-01-2026,4
32,32,1,183,94,18-01-2026,13
33,33,1,376,110,22-01-2026,4
34,34,1,211,96,27-01-2026,7
35,35,1,246,70,17-01-2026,11
36,36,1,196,85,28-01-2026,8
37,37,1,118,68,18-01-2026,5
38,38,1,55,69,25-01-2026,9
39,39,1,115,106,17-01-2026,8
40,40,1,171,67,23-01-2026,5
41,41,1,170,96,15-01-2026,6
42,42,1,209,98,26-01-2026,12
43,43,1,243,63,23-01-2026,10
44,44,1,56,64,26-01-2026,10
45,45,1,287,80,26-01-2026,9
46,46,1,388,50,24-01-2026,11
47,47,1,202,103,22-01-2026,7
48,48,1,32,52,20-01-2026,11
49,49,1,298,65,24-01-2026,7
50,50,1,236,106,14-01-2026,11
51,51,1,374,61,19-01-2026,12
52,52,1,380,65,17-01-2026,6
53,53,1,305,73,23-01-2026,6
54,54,1,292,77,19-01-2026,5
55,55,1,388,57,28-01-2026,13
56,56,1,81,85,14-01-2026,6
57,57,1,103,57,22-01-2026,6
58,58,1,387,107,27-01-2026,8
59,59,1,236,109,20-01-2026,8
60,60,1,361,99,24-01-2026,5
61,61,1,206,77,15-01-2026,13
62,62,1,38,90,26-01-2026,9
63,63,1,196,113,17-01-2026,8
64,64,1,119,76,16-01-2026,9
65,65,1,252,112,15-01-2026,4
66,66,1,95,66,21-01-2026,8
67,67,1,284,82,23-01-2026,12
68,68,1,303,78,22-01-2026,13
69,69,1,225,62,18-01-2026,5
70,70,1,242,95,18-01-2026,4
71,71,1,71,84,27-01-2026,13
72,72,1,358,55,18-01-2026,12
73,73,1,386,118,26-01-2026,13
74,74,1,163,96,19-01-2026,12
75,75,1,392,74,25-01-2026,12
76,76,1,88,115,16-01-2026,9
77,77,1,118,59,22-01-2026,11
78,78,1,44,105,16-01-2026,4
79,79,1,398,79,19-01-2026,13
80,80,1,72,54,27-01-2026,7
81,81,1,170,82,20-01-2026,4
82,82,1,163,114,14-01-2026,11
83,83,1,76,67,24-01-2026,4
84,84,1,58,98,19-01-2026,6
85,85,1,128,60,17-01-2026,7
86,86,1,200,75,16-01-2026,11
87,87,1,61,112,22-01-2026,9
88,88,1,205,108,19-01-2026,13
89,89,1,242,76,17-01-2026,10
90,90,1,141,98,21-01-2026,11
91,91,1,152,82,28-01-2026,5
92,92,1,182,50,26-01-2026,13
93,93,1,234,70,27-01-2026,11
94,94,1,240,104,24-01-2026,6
95,95,1,254,55,21-01-2026,10
96,96,1,350,118,21-01-2026,6
97,97,1,165,54,21-01-2026,10
98,98,1,258,52,17-01-2026,5
99,99,1,95,102,25-01-2026,13
100,100,1,28,72,19-01-2026,9
101,101,1,93,102,18-01-2026,6
102,102,1,272,86,25-01-2026,6
103,103,1,249,66,22-01-2026,12
104,104,1,26,50,15-01-2026,10
105,105,1,193,100,24-01-2026,8
106,106,1,160,94,27-01-2026,13
107,107,1,187,53,27-01-2026,10
108,108,1,189,111,22-01-2026,12
109,109,1,302,114,27-01-2026,4
110,110,1,141,81,28-01-2026,10
111,111,1,213,83,18-01-2026,9
112,112,1,24,88,27-01-2026,13
113,113,1,48,75,27-01-2026,12
114,114,1,184,83,26-01-2026,4
115,115,1,358,103,15-01-2026,7
116,116,1,155,52,28-01-2026,12
117,117,1,384,99,14-01-2026,7
118,118,1,340,61,14-01-2026,13
119,119,1,361,114,23-01-2026,6
120,120,1,164,103,21-01-2026,12
