ProductKey,SupplierKey,ProductName,Category,SubCategory,Brand,Size,Color,CostPrice,ListPrice
1,12,Protect,Women Wear,Dresses,Strickland-Gray,M,Red,1760.4,2648.21
2,6,Painting,Men Wear,Kurtis,Morton-Miller,L,Blue,1588.48,2514.33
3,2,Hot,Men Wear,Dresses,Smith-Ruiz,L,Red,1410.42,4480.05
4,12,Minute,Men Wear,Kurtis,"Turner, Jimenez and Martin",XL,White,730.38,1533.33
5,5,Building,Kids Wear,T-Shirts,"Vasquez, Wilkerson and Mccarthy",S,Blue,758.5,965.07
6,1,Ability,Kids Wear,Jeans,Johnston Ltd,L,White,456.61,2678.02
7,12,Why,,T-Shirts,"Lopez, Novak and Mcclure",S,,1394.93,1543.76
8,10,Here,Men Wear,Jackets,"Larson, Shelton and Anderson",M,Red,555.25,2219.29
9,6,Hot,Women Wear,Jackets,Mendoza Ltd,L,Black,1015.07,3579.01
10,12,War,Men Wear,Jackets,Cole PLC,M,Green,682.41,3495.38
11,9,Apply,Men Wear,Jeans,Palmer-Estrada,M,White,1654.07,2009.02
12,1,Thank,Women Wear,T-Shirts,"Jacobs, Bean and Fisher",XL,Red,1065.52,2853.14
13,11,Black,Men Wear,Jackets,Anderson PLC,S,Red,1188.59,2731.73
14,11,Wrong,Men Wear,Jackets,Shaffer-Williams,M,Red,1373.72,3190.8
15,10,Hospital,Women Wear,T-Shirts,Stone Group,XL,Blue,595.06,1801.66
16,12,More,Women Wear,Kurtis,Greene PLC,XL,Black,1246.18,3023.54
17,12,Southern,Men Wear,T-Shirts,Knight-Curtis,S,Red,1155.78,4424.01
18,3,Hot,Women Wear,Dresses,"Johnson, Harris and Howard",S,Blue,684.29,2652.27
19,12,Serve,Kids Wear,Dresses,"Chavez, Cline and Austin",M,Blue,1719.99,4161.96
20,7,Box,Men Wear,T-Shirts,Fitzgerald Group,XL,Green,1238.41,2463.82
21,4,Degree,Kids Wear,Kurtis,"Franklin, Foster and Rosario",XL,Red,1372.7,2160.28
22,9,Agreement,Kids Wear,Kurtis,Strickland-Payne,XL,Blue,1632.65,3222.37
23,3,Laugh,Women Wear,Jeans,"Nash, Moore and Rice",M,Blue,1274.1,3308.13
24,5,Act,Men Wear,Jackets,Chan Group,S,White,813.89,4011
25,3,Could,Kids Wear,Kurtis,Bridges Group,XL,White,547.69,1728.67
26,7,Sit,Women Wear,Jeans,Ross Ltd,L,Blue,1039.15,2697.1
