SupplierKey,SupplierName,ContactPerson,Phone,Email,City,ReliabilityScore
1,Chavez-Moreno,Patrick Williams,001-779-795-6057x272,peterrobbins@garrett-rivera.com,Port Jamesfort,4.06
2,Thomas PLC,,+1-765-842-6345x865,smiller@buck.com,South Rebecca,4.93
3,Torres PLC,Diana Alexander,931.546.3834x27022,jacksoncandice@hudson.biz,Port Nicholasberg,
4,Moreno-Glenn,Emily Torres,,rhunt@clark.com,North Michaelmouth,4.4
5,Obrien LLC,Carrie Velazquez,(796)479-9231x990,shane77@bush.info,North Catherinechester,3.73
6,"Stokes, Anderson and Swanson",Jonathan Middleton,(880)524-3262,richardcardenas@hammond.com,West Nicholasmouth,3.73
7,"Scott, Gray and Andrews",Michael Miller,001-682-752-5760x6569,,Noahside,3.59
8,"Wilson, Martinez and Jones",Molly Pena,(398)527-6572x0113,gbrown@davis.com,,4.8
9,"Fletcher, Wright and Collins",Lori Kennedy,524-380-4819x11322,traceysanders@horton.com,Amandaborough,4.4
10,"Vasquez, Rose and Thomas",,+1-566-860-2563x0029,emily87@chavez-johnson.com,Hamiltonbury,4.56
11,Campbell Ltd,Daniel Wright,952.529.8218,meganhernandez@martinez.com,South Nicoleton,3.53
12,,Gina Hayes,623.240.0120x98090,jshepherd@herring-baker.com,Port Joshuaton,4.95
