SalesKey,DateKey,ProductKey,CustomerKey,EmployeeKey,BranchKey,StoreKey,PromotionKey,Quantity,UnitPrice,Discount,TotalAmount,SaleDate
1,109,75,187,10,3,1,2,3,3319.29,20,7966.3,18-04-2024
2,,16,46,41,1,1,5,1,3023.54,20,2418.83,25-05-2024
3,111,82,183,,2,1,8,3,1039.81,20,2495.54,20-04-2024
4,228,94,268,17,2,1,2,1,1398.07,20,1118.46,15-08-2024
5,111,48,296,44,2,1,8,1,4248.06,20,3398.45,20-04-2024
6,34,119,100,45,3,1,1,3,1071.78,10,2893.81,03-02-2024
7,111,10,78,30,3,1,5,1,,20,2796.3,20-04-2024
8,264,82,272,44,2,1,4,2,1039.81,20,1663.7,20-09-2024
9,236,38,162,10,3,1,3,4,2960.25,20,9472.8,23-08-2024
10,83,19,44,19,3,1,5,2,4161.96,20,6659.14,23-03-2024
11,42,36,,29,1,1,5,4,2090.7,20,6690.24,11-02-2024
12,101,59,134,2,2,1,5,2,2890.15,20,4624.24,10-04-2024
13,6,63,192,36,2,1,5,4,3101.45,20,9924.64,
14,180,77,278,19,3,1,8,1,1458.15,20,1166.52,28-06-2024
15,282,120,18,7,2,1,4,3,2937.73,20,7050.55,08-10-2024
16,320,46,12,26,2,1,4,3,2320.89,20,5570.14,15-11-2024
17,226,3,180,15,2,1,8,5,4480.05,20,17920.2,13-08-2024
18,315,74,123,38,3,1,3,4,2478.51,20,7931.23,10-11-2024
19,365,102,246,3,3,1,4,5,1803.1,20,7212.4,30-12-2024
20,229,65,222,38,3,1,4,5,918.67,20,3674.68,16-08-2024
21,289,119,51,16,1,1,1,4,1071.78,10,3858.41,15-10-2024
22,150,120,71,2,2,1,7,3,2937.73,30,6169.23,29-05-2024
23,277,91,48,31,1,1,1,4,1599.77,10,5759.17,03-10-2024
24,198,110,19,28,3,1,7,1,1763.23,30,1234.26,16-07-2024
25,70,8,262,7,1,1,2,5,2219.29,20,8877.16,10-03-2024
26,112,51,84,30,2,1,3,5,3316.12,20,13264.48,21-04-2024
27,4,110,155,43,2,1,7,4,1763.23,30,4937.04,04-01-2024
28,350,106,53,7,3,1,1,5,3378.6,10,15203.7,15-12-2024
29,331,81,107,36,3,1,3,3,1800.9,20,4322.16,26-11-2024
30,318,73,135,29,1,1,3,5,2983.91,20,11935.64,13-11-2024
31,350,6,69,24,3,1,5,4,2678.02,20,8569.66,15-12-2024
